alp|phi           0           5          10          15          20          25          30
      0  0.00000000  0.08726646  0.17453293  0.26179939  0.34906585  0.43633231  0.52359878
      2  0.00000000  0.08726660  0.17453400  0.26180298  0.34907428  0.43634855  0.52362636
      4  0.00000000  0.08726700  0.17453721  0.26181374  0.34909952  0.43639719  0.52370903
      6  0.00000000  0.08726767  0.17454255  0.26183163  0.34914148  0.43647806  0.52384653
      8  0.00000000  0.08726860  0.17454999  0.26185656  0.34919998  0.43659086  0.52403839

     10  0.00000000  0.08726980  0.17455949  0.26188842  0.34927479  0.43673518  0.52428402
     12  0.00000000  0.08727124  0.17457102  0.26192707  0.34936558  0.43691046  0.52458259
     14  0.00000000  0.08727294  0.17458451  0.26197234  0.34947200  0.43711606  0.52493314
     16  0.00000000  0.08727487  0.17459991  0.26202402  0.34959358  0.43735119  0.52533449
     18  0.00000000  0.08727703  0.17461714  0.26208189  0.34972983  0.43761496  0.52578529

     20  0.00000000  0.08727940  0.17463611  0.26214568  0.34988016  0.43790635  0.52628399
     22  0.00000000  0.08728199  0.17465675  0.26221511  0.35004395  0.43822422  0.52682887
     24  0.00000000  0.08728477  0.17467895  0.26228985  0.35022048  0.43856733  0.52741799
     26  0.00000000  0.08728773  0.17470261  0.26236958  0.35040901  0.43893430  0.52804924
     28  0.00000000  0.08729086  0.17472762  0.26245392  0.35060870  0.43932364  0.52872029

     30  0.00000000  0.08729413  0.17475386  0.26254249  0.35081868  0.43973377  0.52942863
     32  0.00000000  0.08729755  0.17478119  0.26263487  0.35103803  0.44016296  0.53017153
     34  0.00000000  0.08730108  0.17480950  0.26273064  0.35126576  0.44060939  0.53094608
     36  0.00000000  0.08730472  0.17483864  0.26282934  0.35150083  0.44107115  0.53174916
     38  0.00000000  0.08730844  0.17486848  0.26293052  0.35174218  0.44154622  0.53257745

     40  0.00000000  0.08731222  0.17489887  0.26303369  0.35198869  0.44203247  0.53342745
     42  0.00000000  0.08731606  0.17492967  0.26313836  0.35223920  0.44252769  0.53429546
     44  0.00000000  0.08731992  0.17496073  0.26324403  0.35249254  0.44302960  0.53517761
     46  0.00000000  0.08732379  0.17499189  0.26335020  0.35274748  0.44353584  0.53606986
     48  0.00000000  0.08732766  0.17502300  0.26345633  0.35300280  0.44404396  0.53696798

     50  0.00000000  0.08733149  0.17505392  0.26356191  0.35325724  0.44455151  0.53786765
     52  0.00000000  0.08733528  0.17508448  0.26366643  0.35350955  0.44505593  0.53876438
     54  0.00000000  0.08733901  0.17511455  0.26376936  0.35375845  0.44555469  0.53965358
     56  0.00000000  0.08734265  0.17514397  0.26387020  0.35400269  0.44604519  0.54053059
     58  0.00000000  0.08734620  0.17517259  0.26396842  0.35424101  0.44652487  0.54139069

     60  0.00000000  0.08734962  0.17520029  0.26406355  0.35447217  0.44699117  0.54222911
     62  0.00000000  0.08735291  0.17522691  0.26415509  0.35469497  0.44744153  0.54304111
     64  0.00000000  0.08735605  0.17525232  0.26424258  0.35490823  0.44787348  0.54382197
     66  0.00000000  0.08735902  0.17527640  0.26432556  0.35511081  0.44828459  0.54456704
     68  0.00000000  0.08736182  0.17529903  0.26440362  0.35530160  0.44867252  0.54527182

     70  0.00000000  0.08736442  0.17532010  0.26447634  0.35547958  0.44903502  0.54593192
     72  0.00000000  0.08736681  0.17533949  0.26454334  0.35564377  0.44936997  0.54654316
     74  0.00000000  0.08736898  0.17535712  0.26460428  0.35579326  0.44967539  0.54710162
     76  0.00000000  0.08737092  0.17537289  0.26465883  0.35592721  0.44994944  0.54760364
     78  0.00000000  0.08737262  0.17538672  0.26470671  0.35604488  0.45019046  0.54804587

     80  0.00000000  0.08737408  0.17539854  0.26474766  0.35614560  0.45039699  0.54842534
     82  0.00000000  0.08737528  0.17540830  0.26478147  0.35622880  0.45056775  0.54873947
     84  0.00000000  0.08737622  0.17541594  0.26480795  0.35629402  0.45070168  0.54898608
     86  0.00000000  0.08737689  0.17542142  0.26482697  0.35634086  0.45079795  0.54916348
     88  0.00000000  0.08737730  0.17542473  0.26483842  0.35636908  0.45085595  0.54927042

     90  0.00000000  0.08737744  0.17542583  0.26484225  0.35637850  0.45087533  0.54930614

alp|phi           0           5          10          15          20          25          30
      5  0.00000000  0.08726730  0.17453962  0.26182180  0.34911842  0.43643361  0.52377095
     15  0.00000000  0.08727387  0.17459198  0.26199739  0.34953092  0.43722998  0.52512754
     25  0.00000000  0.08728623  0.17469061  0.26232912  0.35031330  0.43874792  0.52772849
     35  0.00000000  0.08730289  0.17482397  0.26277965  0.35138244  0.44083848  0.53134425
     45  0.00000000  0.08732185  0.17497630  0.26329709  0.35261989  0.44328233  0.53562273

     55  0.00000000  0.08734084  0.17512935  0.26382007  0.35388123  0.44580113  0.54009390
     65  0.00000000  0.08735756  0.17526454  0.26428466  0.35501092  0.44808179  0.54419926
     75  0.00000000  0.08736998  0.17536524  0.26463237  0.35586223  0.44981644  0.54735990
     85  0.00000000  0.08737659  0.17541895  0.26481840  0.35631976  0.45075457  0.54908352
