   n alp|phi        0       15       30       45       60       75       90
 0.0       0  0.00000  0.26180  0.52360  0.78540  1.04720  1.30900  1.57080
 0.0      15  0.00000  0.26200  0.52513  0.79025  1.05774  1.32733  1.59814
 0.0      30  0.00000  0.26254  0.52943  0.80437  1.08955  1.38457  1.68575
 0.0      45  0.00000  0.26330  0.53562  0.82602  1.14243  1.48788  1.85407
 0.0      60  0.00000  0.26406  0.54223  0.85122  1.21260  1.64918  2.15652
 0.0      75  0.00000  0.26463  0.54736  0.87270  1.28371  1.87145  2.76806
 0.0      90  0.00000  0.26484  0.54931  0.88137  1.31696  2.02759      inf

 0.1       0  0.00000  0.26239  0.52820  0.80013  1.07949  1.36560  1.65576
 0.1      15  0.00000  0.26259  0.52975  0.80514  1.09058  1.38520  1.68536
 0.1      30  0.00000  0.26314  0.53412  0.81972  1.12405  1.44650  1.78030
 0.1      45  0.00000  0.26390  0.54041  0.84210  1.17980  1.55739  1.96326
 0.1      60  0.00000  0.26467  0.54712  0.86817  1.25393  1.73121  2.29355
 0.1      75  0.00000  0.26524  0.55234  0.89040  1.32926  1.97204  2.96601
 0.1      90  0.00000  0.26545  0.55431  0.89939  1.36454  2.14201      inf

 0.2       0  0.00000  0.26299  0.53294  0.81586  1.11534  1.43078  1.75620
 0.2      15  0.00000  0.26319  0.53452  0.82104  1.12705  1.45187  1.78850
 0.2      30  0.00000  0.26374  0.53896  0.83612  1.16241  1.51792  1.89229
 0.2      45  0.00000  0.26450  0.54535  0.85928  1.22140  1.63775  2.09296
 0.2      60  0.00000  0.26527  0.55217  0.88629  1.30003  1.82643  2.45715
 0.2      75  0.00000  0.26585  0.55747  0.90934  1.38016  2.08942  3.20448
 0.2      90  0.00000  0.26606  0.55948  0.91867  1.41777  2.27604      inf

 0.3       0  0.00000  0.26359  0.53784  0.83271  1.15551  1.50701  1.87746
 0.3      15  0.00000  0.26379  0.53945  0.83808  1.16792  1.52988  1.91309
 0.3      30  0.00000  0.26434  0.54396  0.85370  1.20543  1.60161  2.02779
