    x               J0(x)          J1(x)          J2(x)          Y0(x)          Y1(x)          Y2(x)
 0.00   1.000000000000000   0.0000000000   0.0000000000           -inf           -inf           -inf
 0.10   0.997501562066040   0.0499375260   0.0012489587  -1.5342386514  -6.4589510947  -127.6447832427
 0.20   0.990024972239576   0.0995008326   0.0049833542  -1.0811053224  -3.3238249881  -32.1571445587
 0.30   0.977626246538296   0.1483188163   0.0111658619  -0.8072735778  -2.2931051384  -14.4800940115
 0.40   0.960398226659563   0.1960265780   0.0197346631  -0.6060245684  -1.7808720443  -8.2983356529

 0.50   0.938469807240813   0.2422684577   0.0306040235  -0.4445187335  -1.4714723927  -5.4413708372
 0.60   0.912004863497211   0.2867009881   0.0436650967  -0.3085098701  -1.2603913472  -3.8927946205
 0.70   0.881200888607405   0.3289957415   0.0587869444  -0.1906649293  -1.1032498719  -2.9614775618
 0.80   0.846287352750480   0.3688420461   0.0758177625  -0.0868022797  -0.9781441767  -2.3585581621
 0.90   0.807523798122545   0.4059495461   0.0945863043   0.0056283066  -0.8731265825  -1.9459096010

 1.00   0.765197686557966   0.4400505857   0.1149034849   0.0882569642  -0.7812128213  -1.6506826068
 1.10   0.719622018527511   0.4709023949   0.1365641540   0.1621632029  -0.6981195601  -1.4314714940
 1.20   0.671132744264362   0.4982890576   0.1593490183   0.2280835032  -0.6211363797  -1.2633108028
 1.30   0.620085989561509   0.5220232474   0.1830266988   0.2865353572  -0.5485197300  -1.1304118648
 1.40   0.566855120374289   0.5419477139   0.2073558995   0.3378951297  -0.4791469742  -1.0223908072

 1.50   0.511827671735918   0.5579365079   0.2320876721   0.3824489238  -0.4123086270  -0.9321937598
 1.60   0.455402167639381   0.5698959353   0.2569677514   0.4204268964  -0.3475780083  -0.8548994067
 1.70   0.397984859446109   0.5777652315   0.2817389424   0.4520270002  -0.2847262451  -0.7869990532
 1.80   0.339986411042558   0.5815169517   0.3061435353   0.4774317149  -0.2236648682  -0.7259482351
 1.90   0.281818559374385   0.5811570727   0.3299257277   0.4968199713  -0.1644057723  -0.6698786790

 2.00   0.223890779141236   0.5767248078   0.3528340286   0.5103756726  -0.1070324315  -0.6174081042
 2.10   0.166606980331990   0.5682921358   0.3746236252   0.5182937375  -0.0516786121  -0.5675114634
 2.20   0.110362266922174   0.5559630498   0.3950586875   0.5207842854   0.0014877893  -0.5194317497
 2.30   0.055539784445602   0.5398725326   0.4139145917   0.5180753962   0.0522773158  -0.4726168607
 2.40   0.002507683297244   0.5201852682   0.4309800402   0.5104147487   0.1004889383  -0.4266739667

 2.50  -0.048383776468198   0.4970941025   0.4460590584   0.4980703596   0.1459181380  -0.3813358492
 2.60  -0.096804954397038   0.4708182665   0.4589728517   0.4813305906   0.1883635444  -0.3364355565
 2.70  -0.142449370046012   0.4416013791   0.4695615027   0.4605035491   0.2276324459  -0.2918869225
 2.80  -0.185036033364388   0.4097092469   0.4776854954   0.4359159856   0.2635453936  -0.2476692759
 2.90  -0.224311545791968   0.3754274818   0.4832270505   0.4079117692   0.2959400546  -0.2038151799

 3.00  -0.260051954901934   0.3390589585   0.4860912606   0.3768500100   0.3246744248  -0.1604003935
 3.10  -0.292064347650698   0.3009211331   0.4862070142   0.3431028894   0.3496294823  -0.1175354814
 3.20  -0.320188169657123   0.2613432488   0.4835277001   0.3070532501   0.3707113384  -0.0753586636
 3.30  -0.344296260398885   0.2206634530   0.4780316865   0.2690919951   0.3878529310  -0.0340296126
 3.40  -0.364295596762001   0.1792258517   0.4697225683   0.2296153372   0.4010152921   0.0062760111

 3.50  -0.380127739987263   0.1373775274   0.4586291842   0.1890219439   0.4101884179   0.0453714377
 3.60  -0.391768983700798   0.0954655472   0.4448053988   0.1477100126   0.4153917621   0.0830631886
 3.70  -0.399230203371191   0.0538339877   0.4283296562   0.1060743153   0.4166743727   0.1191550753
 3.80  -0.402556410178564   0.0128210029   0.4093043065   0.0645032467   0.4141146893   0.1534518530
 3.90  -0.401826014887640  -0.0272440396   0.3878547125   0.0233759082   0.4078200195   0.1857625634

 4.00  -0.397149809863847  -0.0660433280   0.3641281459  -0.0169407393   0.3979257106   0.2159035946
 4.10  -0.388669679835854  -0.1032732577   0.3382924809  -0.0560946266   0.3845940348   0.2437014729
 4.20  -0.376557054367568  -0.1386469421   0.3105347010  -0.0937512013   0.3680128079   0.2689953955
 4.30  -0.361011117236535  -0.1718965602   0.2810592288  -0.1295959029   0.3483937583   0.2916395114
 4.40  -0.342256790003886  -0.2027755219   0.2500860982  -0.1633364628   0.3259706708   0.3115049495

 4.50  -0.320542508985121  -0.2310604319   0.2178489837  -0.1947050086   0.3009973231   0.3284815967
 4.60  -0.296137816574141  -0.2565528361   0.1845931052  -0.2234599526   0.2737452415   0.3424796228
 4.70  -0.269330789419753  -0.2790807358   0.1505730295  -0.2493876472   0.2445012968   0.3534307523
 4.80  -0.240425327291183  -0.2984998581   0.1160503864  -0.2723037945   0.2135651673   0.3612892808
 4.90  -0.209738327585326  -0.3146946710   0.0812915231  -0.2920545942   0.1812466920   0.3660328359

 5.00  -0.177596771314338  -0.3275791376   0.0465651163  -0.3085176252   0.1478631434   0.3676628826
