    x  exp(-x)*I0(x)  exp(-x)*I1(x)   x^{-2}*I2(x)   exp(x)*K0(x)   exp(x)*K1(x)      x^2*K2(x)
 0.00   1.0000000000   0.0000000000            nan            inf            inf            nan
 0.10   0.9071009258   0.0452984468   0.1251041992   2.6823261023  10.8901826830   1.9950396464
 0.20   0.8269385516   0.0822831235   0.1254171878   2.1407573234   5.8333860372   1.9804971715
 0.30   0.7575806252   0.1123775606   0.1259401407   1.8526273008   4.1251577622   1.9571166255
 0.40   0.6974021706   0.1367632243   0.1266750223   1.6626820891   3.2586738792   1.9258082013

 0.50   0.6450352704   0.1564208032   0.1276245967   1.5241093858   2.7310097082   1.8875458878
 0.60   0.5993272031   0.1721644195   0.1287924416   1.4167376214   2.3739200375   1.8433098808
 0.70   0.5593055265   0.1846699828   0.1301829658   1.3301236562   2.1150113128   1.7940516808
 0.80   0.5241489419   0.1944986934   0.1318014317   1.2582031216   1.9179302989   1.7406727625
 0.90   0.4931629661   0.2021165309   0.1336539819   1.1971633803   1.7623882196   1.6840119914

 1.00   0.4657596076   0.2079104153   0.1357476698   1.1444630798   1.6361534863   1.6248388986
 1.10   0.4414403775   0.2122016132   0.1380904952   1.0983302829   1.5314037540   1.5638509535
 1.20   0.4197820789   0.2152568594   0.1406914455   1.0574845322   1.4428975521   1.5016735758
 1.30   0.4004249127   0.2172975878   0.1435605405   1.0209731613   1.3669872843   1.4388620109
 1.40   0.3830625154   0.2185075924   0.1467088837   0.9880699960   1.3010537401   1.3759044462

 1.50   0.3674336091   0.2190393874   0.1501487193   0.9582100533   1.2431658736   1.3132259173
 1.60   0.3533149977   0.2190194899   0.1538934945   0.9309459808   1.1918675654   1.2511926814
 1.70   0.3405156880   0.2185528066   0.1579579288   0.9059181386   1.1460392462   1.1901168191
 1.80   0.3288719497   0.2177262788   0.1623580900   0.8828335270   1.1048053727   1.1302608969
 1.90   0.3182431629   0.2166119112   0.1671114773   0.8614506168   1.0674709298   1.0718425667

 2.00   0.3085083226   0.2152692892   0.1722371119   0.8415682151   1.0334768471   1.0150390183
 2.10   0.2995630945   0.2137476721   0.1777556370   0.8230171525   1.0023680527   0.9599912258
 2.20   0.2913173331   0.2120877327   0.1836894251   0.8056539813   0.9737701679   0.9068079520
 2.30   0.2836929857   0.2103230051   0.1900626963   0.7893561312   0.9473722249   0.8555694873
 2.40   0.2766223231   0.2084810887   0.1969016460   0.7740181408   0.9229136650   0.8063311133

 2.50   0.2700464416   0.2065846495   0.2042345837   0.7595486903   0.9001744239   0.7591262892
 2.60   0.2639139959   0.2046522543   0.2120920841   0.7458682430   0.8789672805   0.7139695645
 2.70   0.2581801236   0.2026990640   0.2205071509   0.7329071516   0.8591318867   0.6708592270
 2.80   0.2528055337   0.2007374113   0.2295153938   0.7206041251   0.8405300603   0.6297796981
 2.90   0.2477557305   0.1987772816   0.2391552213   0.7089049773   0.8230420403   0.5907036878

 3.00   0.2430003542   0.1968267133   0.2494680490   0.6977615980   0.8065634801   0.5535941262
 3.10   0.2385126187   0.1948921309   0.2604985252   0.6871311010   0.7910030157   0.5184058849
 3.20   0.2342688317   0.1929786229   0.2722947757   0.6769751138   0.7762802823   0.4850873055
 3.30   0.2302479845   0.1910901728   0.2849086686   0.6672591830   0.7623242865   0.4535815503
 3.40   0.2264314012   0.1892298512   0.2983961012   0.6579522724   0.7490720614   0.4238277894

 3.50   0.2228024380   0.1873999766   0.3128173100   0.6490263377   0.7364675480   0.3957622408
 3.60   0.2193462245   0.1856022484   0.3282372078   0.6404559647   0.7244606608   0.3693190741
 3.70   0.2160494417   0.1838378580   0.3447257467   0.6322180592   0.7130065010   0.3444311941
 3.80   0.2129001308   0.1821075811   0.3623583128   0.6242915812   0.7020646931   0.3210309137
 3.90   0.2098875279   0.1804118543   0.3812161529   0.6166573147   0.6915988206   0.2990505294

 4.00   0.2070019212   0.1787508395   0.4013868360   0.6092976693   0.6815759452   0.2784228085
 4.10   0.2042345273   0.1771244762   0.4229647539   0.6021965064   0.6719661952   0.2590813981
 4.20   0.2015773841   0.1755325261   0.4460516629   0.5953389889   0.6627424110   0.2409611650
 4.30   0.1990232571   0.1739746090   0.4707572701   0.5887114486   0.6538798395   0.2239984737
 4.40   0.1965655589   0.1724502337   0.4971998689   0.5823012705   0.6453558689   0.2081314112

 4.50   0.1941982776   0.1709588223   0.5255070271   0.5760967898   0.6371497988   0.1932999634
 4.60   0.1919159152   0.1694997312   0.5558163319   0.5700872023   0.6292426384   0.1794461505
 4.70   0.1897134329   0.1680722681   0.5882761978   0.5642624838   0.6216169312   0.1665141269
 4.80   0.1875862042   0.1666757058   0.6230467409   0.5586133194   0.6142566003   0.1544502490
 4.90   0.1855299721   0.1653092936   0.6603007270   0.5531310396   0.6071468127   0.1432031170

 5.00   0.1835408126   0.1639722669   0.7002245987   0.5478075643   0.6002738588   0.1327235928
