<NUMBER OF ZONES> 387											
<NUMBER OF NODES> 933											
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 2950											
<END OF METADATA>											

~	tail node	head node	capacity (veh/h)	length (miles)	fftt(min)	B	Power	speed limit (mph)	toll (cents)	link type	
	1	547	49500	0.86267	0	0.15	4	0	0	3	;
	2	548	49500	0.86267	0	0.15	4	0	0	3	;
	3	549	49500	0.86267	0	0.15	4	0	0	3	;
	4	550	49500	0.86267	0	0.15	4	0	0	3	;
	5	551	49500	0.86267	0	0.15	4	0	0	3	;
	6	552	49500	0.86267	0	0.15	4	0	0	3	;
	7	553	49500	0.86267	0	0.15	4	0	0	3	;
	8	554	49500	0.86267	0	0.15	4	0	0	3	;
	9	555	49500	0.86267	0	0.15	4	0	0	3	;
	10	556	49500	0.86267	0	0.15	4	0	0	3	;
	11	557	49500	0.86267	0	0.15	4	0	0	3	;
	12	558	49500	0.86267	0	0.15	4	0	0	3	;
	13	559	49500	0.86267	0	0.15	4	0	0	3	;
	14	560	49500	0.86267	0	0.15	4	0	0	3	;
	15	561	49500	0.86267	0	0.15	4	0	0	3	;
	16	562	49500	0.86267	0	0.15	4	0	0	3	;
	17	563	49500	0.86267	0	0.15	4	0	0	3	;
	18	564	49500	0.86267	0	0.15	4	0	0	3	;
	19	565	49500	0.86267	0	0.15	4	0	0	3	;
	20	566	49500	0.86267	0	0.15	4	0	0	3	;
	21	567	49500	0.86267	0	0.15	4	0	0	3	;
	22	568	49500	0.86267	0	0.15	4	0	0	3	;
	23	569	49500	0.86267	0	0.15	4	0	0	3	;
	24	570	49500	0.86267	0	0.15	4	0	0	3	;
	25	571	49500	0.86267	0	0.15	4	0	0	3	;
	26	572	49500	0.86267	0	0.15	4	0	0	3	;
	27	573	49500	0.86267	0	0.15	4	0	0	3	;
	28	574	49500	0.86267	0	0.15	4	0	0	3	;
	29	575	49500	0.86267	0	0.15	4	0	0	3	;
	30	576	49500	0.86267	0	0.15	4	0	0	3	;
	31	577	49500	0.86267	0	0.15	4	0	0	3	;
	32	578	49500	0.86267	0	0.15	4	0	0	3	;
	33	579	49500	0.86267	0	0.15	4	0	0	3	;
	34	580	49500	0.86267	0	0.15	4	0	0	3	;
	35	581	49500	0.86267	0	0.15	4	0	0	3	;
	36	582	49500	0.86267	0	0.15	4	0	0	3	;
	37	583	49500	0.86267	0	0.15	4	0	0	3	;
	38	584	49500	0.86267	0	0.15	4	0	0	3	;
	39	585	49500	0.86267	0	0.15	4	0	0	3	;
	40	586	49500	0.86267	0	0.15	4	0	0	3	;
	41	587	49500	0.86267	0	0.15	4	0	0	3	;
	42	588	49500	0.86267	0	0.15	4	0	0	3	;
	43	589	49500	0.86267	0	0.15	4	0	0	3	;
	44	590	49500	0.86267	0	0.15	4	0	0	3	;
	45	591	49500	0.86267	0	0.15	4	0	0	3	;
	46	592	49500	0.86267	0	0.15	4	0	0	3	;
	47	593	49500	0.86267	0	0.15	4	0	0	3	;
	48	594	49500	0.86267	0	0.15	4	0	0	3	;
	49	595	49500	0.86267	0	0.15	4	0	0	3	;
	50	596	49500	0.86267	0	0.15	4	0	0	3	;
	51	597	49500	0.86267	0	0.15	4	0	0	3	;
	52	598	49500	0.86267	0	0.15	4	0	0	3	;
	53	599	49500	0.86267	0	0.15	4	0	0	3	;
	54	600	49500	0.86267	0	0.15	4	0	0	3	;
	55	601	49500	0.86267	0	0.15	4	0	0	3	;
	56	602	49500	0.86267	0	0.15	4	0	0	3	;
	57	603	49500	0.86267	0	0.15	4	0	0	3	;
	58	604	49500	0.86267	0	0.15	4	0	0	3	;
	59	605	49500	0.86267	0	0.15	4	0	0	3	;
	60	606	49500	0.86267	0	0.15	4	0	0	3	;
	61	607	49500	0.86267	0	0.15	4	0	0	3	;
	62	608	49500	0.86267	0	0.15	4	0	0	3	;
	63	609	49500	0.86267	0	0.15	4	0	0	3	;
	64	610	49500	0.86267	0	0.15	4	0	0	3	;
	65	611	49500	0.86267	0	0.15	4	0	0	3	;
	66	612	49500	0.86267	0	0.15	4	0	0	3	;
	67	613	49500	0.86267	0	0.15	4	0	0	3	;
	68	614	49500	0.86267	0	0.15	4	0	0	3	;
	69	615	49500	0.86267	0	0.15	4	0	0	3	;
	70	616	49500	0.86267	0	0.15	4	0	0	3	;
	71	617	49500	0.86267	0	0.15	4	0	0	3	;
	72	618	49500	0.86267	0	0.15	4	0	0	3	;
	73	619	49500	0.86267	0	0.15	4	0	0	3	;
	74	620	49500	0.86267	0	0.15	4	0	0	3	;
	75	621	49500	0.86267	0	0.15	4	0	0	3	;
	76	622	49500	0.86267	0	0.15	4	0	0	3	;
	77	623	49500	0.86267	0	0.15	4	0	0	3	;
	78	624	49500	0.86267	0	0.15	4	0	0	3	;
	79	625	49500	0.86267	0	0.15	4	0	0	3	;
	80	626	49500	0.86267	0	0.15	4	0	0	3	;
	81	627	49500	0.86267	0	0.15	4	0	0	3	;
	82	628	49500	0.86267	0	0.15	4	0	0	3	;
	83	629	49500	0.86267	0	0.15	4	0	0	3	;
	84	630	49500	0.86267	0	0.15	4	0	0	3	;
	85	631	49500	0.86267	0	0.15	4	0	0	3	;
	86	632	49500	0.86267	0	0.15	4	0	0	3	;
	87	633	49500	0.86267	0	0.15	4	0	0	3	;
	88	634	49500	0.86267	0	0.15	4	0	0	3	;
	89	635	49500	0.86267	0	0.15	4	0	0	3	;
	90	636	49500	0.86267	0	0.15	4	0	0	3	;
	91	637	49500	0.86267	0	0.15	4	0	0	3	;
	92	638	49500	0.86267	0	0.15	4	0	0	3	;
	93	639	49500	0.86267	0	0.15	4	0	0	3	;
	94	640	49500	0.86267	0	0.15	4	0	0	3	;
	95	641	49500	0.86267	0	0.15	4	0	0	3	;
	96	642	49500	0.86267	0	0.15	4	0	0	3	;
	97	643	49500	0.86267	0	0.15	4	0	0	3	;
	98	644	49500	0.86267	0	0.15	4	0	0	3	;
	99	645	49500	0.86267	0	0.15	4	0	0	3	;
	100	646	49500	0.86267	0	0.15	4	0	0	3	;
	101	647	49500	0.86267	0	0.15	4	0	0	3	;
	102	648	49500	0.86267	0	0.15	4	0	0	3	;
	103	649	49500	0.86267	0	0.15	4	0	0	3	;
	104	650	49500	0.86267	0	0.15	4	0	0	3	;
	105	651	49500	0.86267	0	0.15	4	0	0	3	;
	106	652	49500	0.86267	0	0.15	4	0	0	3	;
	107	653	49500	0.86267	0	0.15	4	0	0	3	;
	108	654	49500	0.86267	0	0.15	4	0	0	3	;
	109	655	49500	0.86267	0	0.15	4	0	0	3	;
	110	656	49500	0.86267	0	0.15	4	0	0	3	;
	111	657	49500	0.86267	0	0.15	4	0	0	3	;
	112	658	49500	0.86267	0	0.15	4	0	0	3	;
	113	659	49500	0.86267	0	0.15	4	0	0	3	;
	114	660	49500	0.86267	0	0.15	4	0	0	3	;
	115	661	49500	0.86267	0	0.15	4	0	0	3	;
	116	662	49500	0.86267	0	0.15	4	0	0	3	;
	117	663	49500	0.86267	0	0.15	4	0	0	3	;
	118	664	49500	0.86267	0	0.15	4	0	0	3	;
	119	665	49500	0.86267	0	0.15	4	0	0	3	;
	120	666	49500	0.86267	0	0.15	4	0	0	3	;
	121	667	49500	0.86267	0	0.15	4	0	0	3	;
	122	668	49500	0.86267	0	0.15	4	0	0	3	;
	123	669	49500	0.86267	0	0.15	4	0	0	3	;
	124	670	49500	0.86267	0	0.15	4	0	0	3	;
	125	671	49500	0.86267	0	0.15	4	0	0	3	;
	126	672	49500	0.86267	0	0.15	4	0	0	3	;
	127	673	49500	0.86267	0	0.15	4	0	0	3	;
	128	674	49500	0.86267	0	0.15	4	0	0	3	;
	129	675	49500	0.86267	0	0.15	4	0	0	3	;
	130	676	49500	0.86267	0	0.15	4	0	0	3	;
	131	677	49500	0.86267	0	0.15	4	0	0	3	;
	132	678	49500	0.86267	0	0.15	4	0	0	3	;
	133	679	49500	0.86267	0	0.15	4	0	0	3	;
	134	680	49500	0.86267	0	0.15	4	0	0	3	;
	135	681	49500	0.86267	0	0.15	4	0	0	3	;
	136	682	49500	0.86267	0	0.15	4	0	0	3	;
	137	683	49500	0.86267	0	0.15	4	0	0	3	;
	138	684	49500	0.86267	0	0.15	4	0	0	3	;
	139	685	49500	0.86267	0	0.15	4	0	0	3	;
	140	686	49500	0.86267	0	0.15	4	0	0	3	;
	141	687	49500	0.86267	0	0.15	4	0	0	3	;
	142	688	49500	0.86267	0	0.15	4	0	0	3	;
	143	689	49500	0.86267	0	0.15	4	0	0	3	;
	144	690	49500	0.86267	0	0.15	4	0	0	3	;
	145	691	49500	0.86267	0	0.15	4	0	0	3	;
	146	692	49500	0.86267	0	0.15	4	0	0	3	;
	147	693	49500	0.86267	0	0.15	4	0	0	3	;
	148	694	49500	0.86267	0	0.15	4	0	0	3	;
	149	695	49500	0.86267	0	0.15	4	0	0	3	;
	150	696	49500	0.86267	0	0.15	4	0	0	3	;
	151	697	49500	0.86267	0	0.15	4	0	0	3	;
	152	698	49500	0.86267	0	0.15	4	0	0	3	;
	153	699	49500	0.86267	0	0.15	4	0	0	3	;
	154	700	49500	0.86267	0	0.15	4	0	0	3	;
	155	701	49500	0.86267	0	0.15	4	0	0	3	;
	156	702	49500	0.86267	0	0.15	4	0	0	3	;
	157	703	49500	0.86267	0	0.15	4	0	0	3	;
	158	704	49500	0.86267	0	0.15	4	0	0	3	;
	159	705	49500	0.86267	0	0.15	4	0	0	3	;
	160	706	49500	0.86267	0	0.15	4	0	0	3	;
	161	707	49500	0.86267	0	0.15	4	0	0	3	;
	162	708	49500	0.86267	0	0.15	4	0	0	3	;
	163	709	49500	0.86267	0	0.15	4	0	0	3	;
	164	710	49500	0.86267	0	0.15	4	0	0	3	;
	165	711	49500	0.86267	0	0.15	4	0	0	3	;
	166	712	49500	0.86267	0	0.15	4	0	0	3	;
	167	713	49500	0.86267	0	0.15	4	0	0	3	;
	168	714	49500	0.86267	0	0.15	4	0	0	3	;
	169	715	49500	0.86267	0	0.15	4	0	0	3	;
	170	716	49500	0.86267	0	0.15	4	0	0	3	;
	171	717	49500	0.86267	0	0.15	4	0	0	3	;
	172	718	49500	0.86267	0	0.15	4	0	0	3	;
	173	719	49500	0.86267	0	0.15	4	0	0	3	;
	174	720	49500	0.86267	0	0.15	4	0	0	3	;
	175	721	49500	0.86267	0	0.15	4	0	0	3	;
	176	722	49500	0.86267	0	0.15	4	0	0	3	;
	177	723	49500	0.86267	0	0.15	4	0	0	3	;
	178	724	49500	0.86267	0	0.15	4	0	0	3	;
	179	725	49500	0.86267	0	0.15	4	0	0	3	;
	180	726	49500	0.86267	0	0.15	4	0	0	3	;
	181	727	49500	0.86267	0	0.15	4	0	0	3	;
	182	728	49500	0.86267	0	0.15	4	0	0	3	;
	183	729	49500	0.86267	0	0.15	4	0	0	3	;
	184	730	49500	0.86267	0	0.15	4	0	0	3	;
	185	731	49500	0.86267	0	0.15	4	0	0	3	;
	186	732	49500	0.86267	0	0.15	4	0	0	3	;
	187	733	49500	0.86267	0	0.15	4	0	0	3	;
	188	734	49500	0.86267	0	0.15	4	0	0	3	;
	189	735	49500	0.86267	0	0.15	4	0	0	3	;
	190	736	49500	0.86267	0	0.15	4	0	0	3	;
	191	737	49500	0.86267	0	0.15	4	0	0	3	;
	192	738	49500	0.86267	0	0.15	4	0	0	3	;
	193	739	49500	0.86267	0	0.15	4	0	0	3	;
