<NUMBER OF ZONES> 24											
<NUMBER OF NODES> 24											
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 76											
<END OF METADATA>											


~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type	;
	1	2	25900.20064	3.4	6	0.15	4	0	0	1	;
	1	3	23403.47319	2.3	4	0.15	4	0	0	1	;
	2	1	25900.20064	3.4	6	0.15	4	0	0	1	;
	2	6	4958.180928	2.1	5	0.15	4	0	0	1	;
	3	1	23403.47319	2.3	4	0.15	4	0	0	1	;
	3	4	17110.52372	1.8	4	0.15	4	0	0	1	;
	3	12	23403.47319	2.4	4	0.15	4	0	0	1	;
	4	3	17110.52372	1.8	4	0.15	4	0	0	1	;
	4	5	17782.7941	1	2	0.15	4	0	0	1	;
	4	11	4908.82673	1.5	6	0.15	4	0	0	1	;
	5	4	17782.7941	1	2	0.15	4	0	0	1	;
	5	6	4947.995469	1.5	4	0.15	4	0	0	1	;
	5	9	10000	1.1	5	0.15	4	0	0	1	;
	6	2	4958.180928	2.1	5	0.15	4	0	0	1	;
	6	5	4947.995469	1.5	4	0.15	4	0	0	1	;
	6	8	4898.587646	0.9	2	0.15	4	0	0	1	;
	7	8	7841.81131	1.1	3	0.15	4	0	0	1	;
	7	18	23403.47319	1.2	2	0.15	4	0	0	1	;
	8	6	4898.587646	0.9	2	0.15	4	0	0	1	;
	8	7	7841.81131	1.1	3	0.15	4	0	0	1	;
	8	9	5050.193156	1.9	10	0.15	4	0	0	1	;
	8	16	5045.822583	1.2	5	0.15	4	0	0	1	;
	9	5	10000	1.1	5	0.15	4	0	0	1	;
	9	8	5050.193156	1.9	10	0.15	4	0	0	1	;
	9	10	13915.78842	0.4	3	0.15	4	0	0	1	;
	10	9	13915.78842	0.4	3	0.15	4	0	0	1	;
	10	11	10000	0.8	5	0.15	4	0	0	1	;
	10	15	13512.00155	1.1	6	0.15	4	0	0	1	;
	10	16	4854.917717	1.1	4	0.15	4	0	0	1	;
	10	17	4993.510694	1.6	8	0.15	4	0	0	1	;
	11	4	4908.82673	1.5	6	0.15	4	0	0	1	;
	11	10	10000	0.8	5	0.15	4	0	0	1	;
	11	12	4908.82673	2	6	0.15	4	0	0	1	;
	11	14	4876.508287	0.9	4	0.15	4	0	0	1	;
	12	3	23403.47319	2.4	4	0.15	4	0	0	1	;
	12	11	4908.82673	2	6	0.15	4	0	0	1	;
	12	13	25900.20064	2	3	0.15	4	0	0	1	;
	13	12	25900.20064	2	3	0.15	4	0	0	1	;
	13	24	5091.256152	1.5	4	0.15	4	0	0	1	;
	14	11	4876.508287	0.9	4	0.15	4	0	0	1	;
	14	15	5127.526119	1.1	5	0.15	4	0	0	1	;
	14	23	4924.790605	0.9	4	0.15	4	0	0	1	;
	15	10	13512.00155	1.1	6	0.15	4	0	0	1	;
	15	14	5127.526119	1.1	5	0.15	4	0	0	1	;
	15	19	14564.75315	1.1	3	0.15	4	0	0	1	;
	15	22	9599.180565	1.2	3	0.15	4	0	0	1	;
	16	8	5045.822583	1.2	5	0.15	4	0	0	1	;
	16	10	4854.917717	1.1	4	0.15	4	0	0	1	;
	16	17	5229.910063	0.4	2	0.15	4	0	0	1	;
	16	18	19679.89671	0.9	3	0.15	4	0	0	1	;
	17	10	4993.510694	1.6	8	0.15	4	0	0	1	;
	17	16	5229.910063	0.4	2	0.15	4	0	0	1	;
	17	19	4823.950831	0.6	2	0.15	4	0	0	1	;
	18	7	23403.47319	1.2	2	0.15	4	0	0	1	;
	18	16	19679.89671	0.9	3	0.15	4	0	0	1	;
	18	20	23403.47319	2.5	4	0.15	4	0	0	1	;
	19	15	14564.75315	1.1	3	0.15	4	0	0	1	;
	19	17	4823.950831	0.6	2	0.15	4	0	0	1	;
	19	20	5002.607563	1.1	4	0.15	4	0	0	1	;
	20	18	23403.47319	2.5	4	0.15	4	0	0	1	;
	20	19	5002.607563	1.1	4	0.15	4	0	0	1	;
	20	21	5059.91234	1.3	6	0.15	4	0	0	1	;
	20	22	5075.697193	1.4	5	0.15	4	0	0	1	;
	21	20	5059.91234	1.3	6	0.15	4	0	0	1	;
	21	22	5229.910063	0.6	2	0.15	4	0	0	1	;
	21	24	4885.357564	1	3	0.15	4	0	0	1	;
	22	15	9599.180565	1.2	3	0.15	4	0	0	1	;
	22	20	5075.697193	1.4	5	0.15	4	0	0	1	;
	22	21	5229.910063	0.6	2	0.15	4	0	0	1	;
	22	23	5000	1	4	0.15	4	0	0	1	;
	23	14	4924.790605	0.9	4	0.15	4	0	0	1	;
	23	22	5000	1	4	0.15	4	0	0	1	;
	23	24	5078.508436	0.5	2	0.15	4	0	0	1	;
	24	13	5091.256152	1.5	4	0.15	4	0	0	1	;
	24	21	4885.357564	1	3	0.15	4	0	0	1	;
	24	23	5078.508436	0.5	2	0.15	4	0	0	1	;
