link      from        to       cost
   1         1         2        360
   2         1         3        120
   3         2         1        360
   4         2         6        120
   5         3         1        120
   6         3         4        300
   7         3        12        300
   8         4         3        300
   9         4         5        180
  10         4        11        300
  11         5         4        180
  12         5         6        180
  13         5         9        120
  14         6         2        120
  15         6         5        180
  16         6         8        180
  17         7         8        180
  18         7        18        300
  19         8         6        180
  20         8         7        180
  21         8         9        180
  22         8        16        120
  23         9         5        120
  24         9         8        180
  25         9        10        120
  26        10         9        120
  27        10        11        300
  28        10        15        240
  29        10        16        180
  30        10        17        180
  31        11         4        300
  32        11        10        300
  33        11        12        180
  34        11        14        240
  35        12         3        300
  36        12        11        180
  37        12        13        360
  38        13        12        360
  39        13        24        120
  40        14        11        240
  41        14        15        240
  42        14        23        180
  43        15        10        240
  44        15        14        240
  45        15        19        180
  46        15        22        180
  47        16         8        120
  48        16        10        180
  49        16        17        120
  50        16        18        180
  51        17        10        180
  52        17        16        120
  53        17        19        180
  54        18         7        300
  55        18        16        180
  56        18        20        360
  57        19        15        180
  58        19        17        180
  59        19        20        240
  60        20        18        360
  61        20        19        240
  62        20        21        180
  63        20        22        240
  64        21        20        180
  65        21        22        120
  66        21        24        180
  67        22        15        180
  68        22        20        240
  69        22        21        120
  70        22        23        240
  71        23        14        180
  72        23        22        240
  73        23        24        120
  74        24        13        120
  75        24        21        180
  76        24        23        120
