 istep         h         x            y0            y1            y2            y3
     0  0.000000  0.000000  9.940000E-01  0.000000E+00  0.000000E+00 -2.001585E+00
     1  0.000100  0.000100  9.939984E-01 -2.001418E-04 -3.154366E-02 -2.001085E+00
     2  0.000285  0.000385  9.939767E-01 -7.699617E-04 -1.209268E-01 -1.994217E+00
     3  0.000344  0.000730  9.939168E-01 -1.454003E-03 -2.261846E-01 -1.975563E+00
     4  0.000448  0.001178  9.937861E-01 -2.331038E-03 -3.552391E-01 -1.936090E+00
     5  0.000505  0.001682  9.935732E-01 -3.293175E-03 -4.857773E-01 -1.875136E+00
     6  0.000569  0.002251  9.932599E-01 -4.337427E-03 -6.110342E-01 -1.792290E+00
     7  0.000629  0.002880  9.928392E-01 -5.433558E-03 -7.219282E-01 -1.692196E+00
     8  0.000695  0.003575  9.923037E-01 -6.570581E-03 -8.142201E-01 -1.580278E+00
     9  0.000765  0.004341  9.916513E-01 -7.734605E-03 -8.860198E-01 -1.462913E+00
    10  0.000844  0.005185  9.908797E-01 -8.918887E-03 -9.381495E-01 -1.345312E+00
    11  0.000935  0.006120  9.899850E-01 -1.012182E-02 -9.728772E-01 -1.231128E+00
    12  0.001042  0.007161  9.889597E-01 -1.134613E-02 -9.929855E-01 -1.122511E+00
    13  0.001168  0.008330  9.877937E-01 -1.259615E-02 -1.001180E+00 -1.020608E+00
    14  0.001318  0.009648  9.864743E-01 -1.387665E-02 -9.998728E-01 -9.258989E-01
    15  0.001494  0.011142  9.849862E-01 -1.519247E-02 -9.911295E-01 -8.384374E-01
    16  0.001702  0.012844  9.833112E-01 -1.654847E-02 -9.766731E-01 -7.579903E-01
    17  0.001947  0.014790  9.814281E-01 -1.794945E-02 -9.579183E-01 -6.841557E-01
    18  0.002235  0.017026  9.793113E-01 -1.940028E-02 -9.360088E-01 -6.164225E-01
    19  0.002577  0.019603  9.769306E-01 -2.090568E-02 -9.118620E-01 -5.542332E-01
    20  0.002982  0.022585  9.742502E-01 -2.246991E-02 -8.862110E-01 -4.970185E-01
    21  0.003463  0.026048  9.712279E-01 -2.409634E-02 -8.596424E-01 -4.442181E-01
    22  0.004036  0.030085  9.678139E-01 -2.578685E-02 -8.326277E-01 -3.952904E-01
    23  0.004720  0.034805  9.639496E-01 -2.754098E-02 -8.055491E-01 -3.497139E-01
    24  0.005537  0.040342  9.595655E-01 -2.935478E-02 -7.787187E-01 -3.069842E-01
    25  0.006517  0.046859  9.545792E-01 -3.121902E-02 -7.523952E-01 -2.666087E-01
    26  0.007693  0.054552  9.488927E-01 -3.311676E-02 -7.267961E-01 -2.280982E-01
    27  0.009109  0.063661  9.423889E-01 -3.501965E-02 -7.021083E-01 -1.909574E-01
    28  0.010817  0.074477  9.349269E-01 -3.688272E-02 -6.784971E-01 -1.546733E-01
    29  0.012881  0.087358  9.263371E-01 -3.863654E-02 -6.561151E-01 -1.187014E-01
    30  0.015381  0.102739  9.164137E-01 -4.017595E-02 -6.351111E-01 -8.244863E-02
    31  0.018414  0.121153  9.049059E-01 -4.134335E-02 -6.156420E-01 -4.525223E-02
    32  0.022098  0.143250  8.915072E-01 -4.190430E-02 -5.978884E-01 -6.353532E-03
    33  0.026575  0.169825  8.758394E-01 -4.151166E-02 -5.820793E-01  3.513616E-02
    34  0.032045  0.201870  8.574174E-01 -3.965063E-02 -5.685246E-01  8.031717E-02
    35  0.038688  0.240558  8.356477E-01 -3.556085E-02 -5.577211E-01  1.304809E-01
    36  0.046667  0.287226  8.098105E-01 -2.813727E-02 -5.504853E-01  1.871257E-01
    37  0.056195  0.343421  7.789699E-01 -1.578490E-02 -5.481978E-01  2.520460E-01
    38  0.066985  0.410406  7.421246E-01  3.612057E-03 -5.532658E-01  3.267164E-01
    39  0.076360  0.486765  6.993424E-01  3.173330E-02 -5.691240E-01  4.094352E-01
    40  0.080328  0.567094  6.525361E-01  6.802151E-02 -5.986125E-01  4.934269E-01
    41  0.080283  0.647376  6.027858E-01  1.108377E-01 -6.435837E-01  5.720011E-01
    42  0.077839  0.725215  5.504347E-01  1.580328E-01 -7.045814E-01  6.385428E-01
    43  0.074230  0.799444  4.954334E-01  2.073330E-01 -7.801840E-01  6.866000E-01
    44  0.070273  0.869717  4.376527E-01  2.565693E-01 -8.663830E-01  7.105008E-01
    45  0.066341  0.936058  3.772200E-01  3.037326E-01 -9.562802E-01  7.065123E-01
    46  0.062483  0.998541  3.148039E-01  3.470257E-01 -1.040730E+00  6.744745E-01
    47  0.058831  1.057371  2.514494E-01  3.851809E-01 -1.110708E+00  6.187156E-01
    48  0.055625  1.112997  1.882034E-01  4.176718E-01 -1.159941E+00  5.469176E-01
    49  0.053358  1.166355  1.255147E-01  4.447591E-01 -1.186067E+00  4.672960E-01
    50  0.052246  1.218600  6.336324E-02  4.670663E-01 -1.189483E+00  3.868730E-01
    51  0.052345  1.270945  1.471538E-03  4.852991E-01 -1.172012E+00  3.110820E-01
    52  0.053602  1.324548 -6.045914E-02  5.001208E-01 -1.136075E+00  2.440730E-01
    53  0.056059  1.380607 -1.227487E-01  5.121816E-01 -1.084253E+00  1.888997E-01
    54  0.059413  1.440020 -1.852795E-01  5.221016E-01 -1.019475E+00  1.479952E-01
    55  0.063046  1.503066 -2.472352E-01  5.305486E-01 -9.454365E-01  1.228872E-01
    56  0.066764  1.569830 -3.076949E-01  5.383516E-01 -8.658132E-01  1.134772E-01
    57  0.070709  1.640539 -3.659840E-01  5.464697E-01 -7.833861E-01  1.182930E-01
    58  0.075193  1.715732 -4.217142E-01  5.559377E-01 -6.996980E-01  1.351768E-01
    59  0.080419  1.796151 -4.745553E-01  5.678334E-01 -6.153205E-01  1.617736E-01
    60  0.086444  1.882596 -5.240289E-01  5.832568E-01 -5.302266E-01  1.956528E-01
    61  0.093286  1.975882 -5.694292E-01  6.033071E-01 -4.440057E-01  2.342839E-01
    62  0.100845  2.076727 -6.097322E-01  6.290050E-01 -3.561265E-01  2.749357E-01
    63  0.108916  2.185643 -6.435792E-01  6.611609E-01 -2.661660E-01  3.146083E-01
    64  0.117186  2.302828 -6.693294E-01  7.001874E-01 -1.740552E-01  3.500548E-01
    65  0.125283  2.428111 -6.852127E-01  7.459047E-01 -8.029087E-02  3.779446E-01
    66  0.132873  2.560984 -6.895600E-01  7.974109E-01  1.393774E-02  3.951537E-01
    67  0.139764  2.700748 -6.810455E-01  8.530837E-01  1.067570E-01  3.990928E-01
    68  0.147969  2.848718 -6.584689E-01  9.114873E-01  1.968827E-01  3.876958E-01
    69  0.156458  3.005176 -6.208963E-01  9.701301E-01  2.814046E-01  3.592448E-01
    70  0.164651  3.169827 -5.681852E-01  1.025685E+00  3.562850E-01  3.129820E-01
    71  0.172210  3.342037 -5.013396E-01  1.074317E+00  4.168199E-01  2.495241E-01
    72  0.177971  3.520008 -4.231571E-01  1.111940E+00  4.579870E-01  1.715287E-01
    73  0.180253  3.700261 -3.386372E-01  1.135075E+00  4.756517E-01  8.414610E-02
    74  0.178627  3.878889 -2.539680E-01  1.142067E+00  4.681398E-01 -6.057759E-03
    75  0.174552  4.053441 -1.746755E-01  1.133358E+00  4.363666E-01 -9.321080E-02
    76  0.169646  4.223087 -1.048904E-01  1.110675E+00  3.826513E-01 -1.731323E-01
    77  0.164094  4.387181 -4.778424E-02  1.076417E+00  3.100734E-01 -2.429927E-01
    78  0.158076  4.545257 -5.499788E-03  1.033262E+00  2.220586E-01 -3.014680E-01
    79  0.151342  4.696599  2.074325E-02  9.839595E-01  1.223283E-01 -3.486378E-01
