   s              h      x             y0             y1             y2             y3
   0  1.0000000E-04  0.000  9.9400000E-01  0.0000000E+00  0.0000000E+00 -2.0015851E+00
  62  1.0084468E-01  2.000 -5.7987805E-01  6.0907757E-01 -4.2253007E-01  2.4422202E-01
  75  1.7455232E-01  4.000 -1.9833352E-01  1.1376380E+00  4.4865247E-01 -6.6885700E-02
  93  6.1730909E-02  6.000 -4.7357443E-01  2.2390680E-01 -5.6094886E-01 -9.8613720E-01
 112  1.6368066E-01  8.000 -1.1745533E+00 -2.7594670E-01 -2.5317135E-01  4.4737686E-01
 124  1.3880900E-01 10.000 -8.3980736E-01  4.4683009E-01  3.7374292E-01 -1.4967003E-01
 147  1.0422334E-01 12.000  1.3147198E-02 -8.3857520E-01  1.7527570E-01 -4.3586688E-01
 160  1.7984461E-01 14.000 -6.0311279E-01 -9.9125982E-01 -3.1049607E-01  3.4418998E-01
 179  5.3927999E-02 16.000  2.4271147E-01 -3.8999470E-01  1.1188140E+00  6.0958821E-01
 217  4.3950161E-04 17.065  9.9400217E-01  9.0408910E-06  1.4597583E-03 -2.0012455E+00
