    ns                      x                     y0                     y1                     y2                     y3                     y4                     y5                     y6                     y7
     1  0.000000000000000E+00  0.000000000000000E+00  6.000000000000000E+00  3.000000000000000E+00  3.000000000000000E+00  6.000000000000000E+00  3.000000000000000E+00  3.000000000000000E+00  0.000000000000000E+00
     2  1.000000000000000E-06 -9.993559370419973E-06  5.999990006329565E+00  2.999916668104528E+00  2.999974926677851E+00  5.999974925754223E+00  2.999833340064845E+00  3.000051334287140E+00  5.134003317425620E-05
     3  9.000000000000000E-06 -8.940245529953261E-05  5.999910588583454E+00  2.999250116370464E+00  2.999766740767144E+00  5.999766664274756E+00  2.998500548996398E+00  3.000461646782195E+00  4.621120467824121E-04
     4  2.658223689740686E-05 -2.595179743791055E-04  5.999740404671936E+00  2.997785826541049E+00  2.999258142623632E+00  5.999257441410100E+00  2.995574492153050E+00  3.001361115121524E+00  1.365170785272627E-03
     5  1.045956940274849E-04 -8.553876909667721E-04  5.999143518357012E+00  2.991299103087277E+00  2.995868363315742E+00  5.995854646387757E+00  2.982649107434360E+00  3.005310591025731E+00  5.373172992209127E-03
     6  1.946924692381975E-04 -7.949804986971876E-04  5.999202082441733E+00  2.983826827784188E+00  2.988103229373919E+00  5.988039180717657E+00  2.967871501701130E+00  3.009774176377206E+00  9.990252404265909E-03
     7  2.497071387973126E-04 -8.669955548669601E-05  5.999909765937694E+00  2.979271982334429E+00  2.979783227630550E+00  5.979654979669355E+00  2.958960441952490E+00  3.012438187247921E+00  1.279301829369602E-02
     8  2.889831133597432E-04  7.484907991759851E-04  6.000745227820159E+00  2.976022689485833E+00  2.971251781297667E+00  5.971052918810530E+00  2.952671704827424E+00  3.014306660343620E+00  1.478144420468432E-02
     9  3.136416846488514E-04  1.370442471573223E-03  6.001367757735311E+00  2.973983472341381E+00  2.964436694968368E+00  5.964179271032367E+00  2.948762853944434E+00  3.015463879453034E+00  1.602290360698132E-02
    10  3.508953121632057E-04  2.347224056499994E-03  6.002346079558469E+00  2.970903632106987E+00  2.951452453371455E+00  5.951079741516981E+00  2.942928643469454E+00  3.017186596345054E+00  1.788604512966218E-02
    11  3.881489396775600E-04  3.219946691157986E-03  6.003221119263755E+00  2.967825014626581E+00  2.934456934202949E+00  5.933927758393668E+00  2.937200246752933E+00  3.018875332653674E+00  1.973120656886274E-02
    12  4.731260189694225E-04  4.285336215035584E-03  6.004293809251190E+00  2.960809375344888E+00  2.875184830607922E+00  5.874073386693098E+00  2.924690674176323E+00  3.022578307297617E+00  2.385247226329014E-02
    13  5.615546265712898E-04  4.442243823249037E-03  6.004459360711854E+00  2.953523682634036E+00  2.772373931020134E+00  5.770133920999846E+00  2.912924837325411E+00  3.026167003422522E+00  2.797204910718808E-02
    14  7.072352133344575E-04  4.439241917182687E-03  6.004470740335776E+00  2.941559516214951E+00  2.504353101406217E+00  5.498302368209014E+00  2.898106271503556E+00  3.031418120942049E+00  3.433128245753665E-02
    15  8.134207040368857E-04  4.434016278990872E-03  6.004475983720958E+00  2.932869377328166E+00  2.283063454493301E+00  5.272231034225582E+00  2.891946570750242E+00  3.034832269285581E+00  3.874589881306877E-02
    16  9.057574195071764E-04  4.429469472959670E-03  6.004480530527040E+00  2.925333419436122E+00  2.126305192635403E+00  5.110005024897257E+00  2.889614751580979E+00  3.037652925618123E+00  4.256031789471933E-02
    17  1.035669245114224E-03  4.423080302387896E-03  6.004486919697611E+00  2.914763485580069E+00  1.991932801204797E+00  4.966500080259055E+00  2.889667889557547E+00  3.041470243902823E+00  4.793833232373860E-02
    18  1.190808144414596E-03  4.415462516472709E-03  6.004494537483527E+00  2.902190888383857E+00  1.931548319281871E+00  4.894107099516566E+00  2.892316939789294E+00  3.045711439414874E+00  5.423486113830296E-02
    19  1.320864488588922E-03  4.409086469914973E-03  6.004500913530086E+00  2.891692673013550E+00  1.924486990225477E+00  4.876697942830196E+00  2.895236944926180E+00  3.048882351666417E+00  5.925024615285736E-02
    20  1.478001441570836E-03  4.401395070626369E-03  6.004508604929374E+00  2.879058987551163E+00  1.938272180855577E+00  4.878029214579106E+00  2.898726968794362E+00  3.052142494156046E+00  6.485177868385780E-02
    21  1.674328344341796E-03  4.391804287787985E-03  6.004518195712212E+00  2.863351754263059E+00  1.968845957483664E+00  4.893373853724311E+00  2.902448497770311E+00  3.055245630329818E+00  7.100872285627340E-02
    22  1.939480358560532E-03  4.378884487162242E-03  6.004531115512838E+00  2.842273643953517E+00  2.017972307129661E+00  4.922721005983694E+00  2.905889141490848E+00  3.057620809810848E+00  7.764400838603096E-02
    23  2.324525319406156E-03  4.360190422580392E-03  6.004549809577410E+00  2.811939805276438E+00  2.093669225547554E+00  4.971482200081389E+00  2.907275167151670E+00  3.057242266204764E+00  8.348346020521888E-02
    24  2.876273313462634E-03  4.333541897028469E-03  6.004576458100143E+00  2.769034770254137E+00  2.200438986051771E+00  5.043412543765369E+00  2.901735084047691E+00  3.048958035415608E+00  8.347025895495368E-02
    25  3.531542700477578E-03  4.302104271880648E-03  6.004607894362372E+00  2.718926599093460E+00  2.311152273027963E+00  5.118099493992025E+00  2.884708808301903E+00  3.028741244009407E+00  7.079789754137998E-02
    26  4.248669548451421E-03  4.267818183034457E-03  6.004641894374719E+00  2.665123447203836E+00  2.396439191002024E+00  5.169254270640003E+00  2.856361900729786E+00  2.997720215804593E+00  4.369286649021657E-02
    27  5.062720876734761E-03  4.223796860379860E-03  6.004674699141888E+00  2.605333367308475E+00  2.432395661508246E+00  5.170249945032641E+00  2.818668277688826E+00  2.959084380143140E+00  2.947069225078543E-03
