 steps                      x                     y0                     y1                     y2
     1  0.000000000000000E+00  1.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
     2  1.000000000000000E-06  9.999999600000008E-01  3.999998320000048E-08  1.599999952000000E-14
     3  9.000000000000000E-06  9.999996400000648E-01  3.599882716565646E-07  1.166354336752796E-11
     4  7.300000000000000E-05  9.999970800042659E-01  2.913787382334434E-06  6.208351820680937E-09
     5  3.421302105638213E-04  9.999863148909263E-01  1.307919521098008E-05  6.059138628105538E-07
     6  6.112604211276427E-04  9.999755499712033E-01  2.135889538415425E-05  3.091133412644609E-06
     7  8.803906316914641E-04  9.999647854413735E-01  2.724901208916896E-05  7.965546537469531E-06
     8  1.303954727067043E-03  9.999478453625211E-01  3.255484201352816E-05  1.959979546541985E-05
     9  1.866332914339023E-03  9.999253573022412E-01  3.530902486682289E-05  3.933367289202561E-05
    10  2.428711101611004E-03  9.999028742076045E-01  3.614958793293449E-05  6.097620446265629E-05
    11  3.774575940355747E-03  9.998490892191750E-01  3.647645985151893E-05  1.144343209735185E-04
    12  6.085901688952521E-03  9.997567898163745E-01  3.647881802650698E-05  2.067313655991122E-04
    13  1.246960885666033E-02  9.995023134527544E-01  3.643227719665359E-05  4.612542700490673E-04
    14  4.516601336384846E-02  9.982091577136206E-01  3.619191783743626E-05  1.754650368542118E-03
    15  1.800431604600223E-01  9.930472117084378E-01  3.525604364520644E-05  6.917532247917142E-03
    16  3.000000000000000E-01  9.886740138499884E-01  3.447720471782071E-05  1.129150894529390E-02
