 steps                      x                     y0                     y1
     1  0.000000000000000E+00  2.000000000000000E+00 -6.000000000000000E-01
     2  1.000000000000000E-07  1.999999939092927E+00 -6.172787843684086E-01
     3  2.000000000000000E-07  1.999999876693071E+00 -6.300792321715389E-01
     4  5.885735108902089E-07  1.999999626037292E+00 -6.552590695972271E-01
     5  9.771470217804178E-07  1.999999369605175E+00 -6.631100598100967E-01
     6  1.645183046098937E-06  1.999998925272176E+00 -6.661840623138106E-01
     7  2.680316408774897E-06  1.999998235335567E+00 -6.666434188519148E-01
     8  4.697646702008111E-06  1.999996890454014E+00 -6.666675657622417E-01
     9  1.078269012755914E-05  1.999992833741975E+00 -6.666704973966165E-01
    10  4.423324534176659E-05  1.999970533035332E+00 -6.666829467193958E-01
    11  3.118376870554263E-04  1.999792112458702E+00 -6.667821086794923E-01
    12  2.452673220764703E-03  1.998363791562347E+00 -6.675766416176053E-01
    13  1.957935749043892E-02  1.986875283084567E+00 -6.740483274566034E-01
    14  1.126855060166984E-01  1.922349979897898E+00 -7.132257297817932E-01
    15  3.473788618961966E-01  1.739620922713230E+00 -8.585164597872277E-01
    16  4.865261621674840E-01  1.610515813009295E+00 -1.010506138099692E+00
    17  5.890731314242638E-01  1.497889388596622E+00 -1.204398321974532E+00
    18  6.565251280412130E-01  1.409810372543401E+00 -1.427550598176447E+00
    19  7.039244592614115E-01  1.336272897462485E+00 -1.700886009662971E+00
    20  7.359794493255438E-01  1.277045847773997E+00 -2.024309162862726E+00
    21  7.581899284743964E-01  1.228140735211465E+00 -2.415977119733925E+00
    22  7.734832071657853E-01  1.187912584904412E+00 -2.889230087045578E+00
    23  7.840480823841072E-01  1.154632991549451E+00 -3.465291241334615E+00
    24  7.913268962142939E-01  1.127094562692649E+00 -4.168650357258102E+00
    25  7.963229514250871E-01  1.104325457393094E+00 -5.029234425994541E+00
    26  7.997411475204274E-01  1.085506142874378E+00 -6.084942446669996E+00
    27  8.020736044852778E-01  1.069946973561169E+00 -7.384629038587532E+00
    28  8.036308414743873E-01  1.057347092608538E+00 -8.950433422902405E+00
    29  8.049247404031968E-01  1.044328682434147E+00 -1.149240933047878E+01
    30  8.055572765192265E-01  1.036363938276895E+00 -1.392606979246899E+01
    31  8.059839423420254E-01  1.029859154063609E+00 -1.684184825880485E+01
    32  8.063193838906327E-01  1.023576981736603E+00 -2.108500228606273E+01
    33  8.065351392975494E-01  1.018522002124773E+00 -2.634223232786704E+01
    34  8.066565430615873E-01  1.015030137158693E+00 -3.164333899122198E+01
    35  8.067364121708827E-01  1.012293386451810E+00 -3.731641122059109E+01
    36  8.067993691261112E-01  1.009738865132005E+00 -4.437598121106495E+01
    37  8.068484142497936E-01  1.007365404180083E+00 -5.307126465738648E+01
    38  8.068861333902145E-01  1.005180718107041E+00 -6.353191150977898E+01
    39  8.069163477460226E-01  1.003079588245142E+00 -7.647933449304819E+01
    40  8.069409510772798E-01  1.001012923359571E+00 -9.266650075762608E+01
    41  8.069612607847234E-01  9.989381550510802E-01 -1.130770980453190E+02
    42  8.069782093391469E-01  9.968173796807978E-01 -1.389814538708392E+02
    43  8.069924819683041E-01  9.946141298129735E-01 -1.720306353630567E+02
    44  8.070045936240403E-01  9.922916381600904E-01 -2.143741067498360E+02
    45  8.070149375833243E-01  9.898117182348526E-01 -2.688083357319884E+02
    46  8.070238192207020E-01  9.871336742906460E-01 -3.389717935454621E+02
    47  8.070314793054447E-01  9.842132797957813E-01 -4.295992319083720E+02
    48  8.070381103133950E-01  9.810017841310912E-01 -5.468527130282162E+02
    49  8.070438680900239E-01  9.774448801734350E-01 -6.987532705397496E+02
    50  8.070488803066791E-01  9.734815875186306E-01 -8.957442961207591E+02
    51  8.070532526685790E-01  9.690430084401559E-01 -1.151427519386849E+03
    52  8.070570735277101E-01  9.640509104239996E-01 -1.483525492510710E+03
    53  8.070604173512318E-01  9.584160835610394E-01 -1.915141829553001E+03
    54  8.070633473607384E-01  9.520364116786029E-01 -2.476413652297418E+03
    55  8.070659175654690E-01  9.447945820164392E-01 -3.206681913344948E+03
    56  8.070681743486037E-01  9.365553379927669E-01 -4.157347546809637E+03
    57  8.070701577209577E-01  9.271621506553867E-01 -5.395639111589568E+03
    58  8.070719023247163E-01  9.164331428250467E-01 -7.009597139611278E+03
    59  8.070734382473541E-01  9.041560394222988E-01 -9.114691342413355E+03
    60  8.070747916898525E-01  8.900818277872129E-01 -1.186264381784918E+04
    61  8.070759855218936E-01  8.739166758491591E-01 -1.545325757147577E+04
    62  8.070770397485842E-01  8.553114443012216E-01 -2.015038284321003E+04
    63  8.070779719075549E-01  8.338477888180889E-01 -2.630365826454860E+04
    64  8.070787974114265E-01  8.090192817858114E-01 -3.437845449594729E+04
    65  8.070795298483477E-01  7.802049985164657E-01 -4.499774054659014E+04
    66  8.070801812526354E-01  7.466312149909107E-01 -5.900181960936811E+04
    67  8.070807623591286E-01  7.073133795267486E-01 -7.753597249528542E+04
    68  8.070812828606563E-01  6.609632592623157E-01 -1.021841869192144E+05
    69  8.070817517036171E-01  6.058295959759386E-01 -1.351850334627215E+05
    70  8.070821774995250E-01  5.393981246959373E-01 -1.798103000445571E+05
    71  8.070825692637001E-01  4.577492437143849E-01 -2.411180421093604E+05
    72  8.070829382064189E-01  3.538902400570906E-01 -3.277792408944829E+05
    73  8.070832961096653E-01  2.154084685461019E-01 -4.548190535588859E+05
    74  8.070836801503294E-01  3.527323231488216E-03 -6.633673991041093E+05
    75  8.070839084570441E-01 -1.665231871682853E-01 -8.318785403112024E+05
    76  8.070840913740939E-01 -3.327081513621453E-01 -9.873157697095434E+05
    77  8.070842742911436E-01 -5.279362192383174E-01 -1.145772310783774E+06
    78  8.070844801015344E-01 -7.795665669427860E-01 -1.288531191806668E+06
    79  8.070846784570287E-01 -1.041482562486838E+00 -1.331807665235662E+06
    80  8.070848665186785E-01 -1.285777310619085E+00 -1.244101745491479E+06
    81  8.070850202835660E-01 -1.465556581046748E+00 -1.083170755205574E+06
    82  8.070852075637530E-01 -1.645016395326842E+00 -8.280497773091735E+05
    83  8.070853732459032E-01 -1.763224050119782E+00 -6.028419306902440E+05
    84  8.070855033248763E-01 -1.831444744460421E+00 -4.506551197721850E+05
    85  8.070856694989929E-01 -1.893032832612070E+00 -2.986401262891364E+05
    86  8.070858508200511E-01 -1.936055576303961E+00 -1.839569034262719E+05
    87  8.070860881898929E-01 -1.967974379590839E+00 -9.425021883847956E+04
    88  8.070862775947049E-01 -1.981718589169031E+00 -5.439115209049980E+04
    89  8.070864325554687E-01 -1.988489809996373E+00 -3.447910347081037E+04
    90  8.070865995482778E-01 -1.993032435344616E+00 -2.101837373935432E+04
    91  8.070867659897185E-01 -1.995791247794259E+00 -1.280318299205732E+04
    92  8.070869291809775E-01 -1.997445100900541E+00 -7.863650574433413E+03
    93  8.070870901945456E-01 -1.998449904346246E+00 -4.857163614203967E+03
    94  8.070872499683267E-01 -1.999066652128491E+00 -3.009663247664102E+03
    95  8.070874089739830E-01 -1.999447308244747E+00 -1.868508122070247E+03
    96  8.070875675125493E-01 -1.999683060329866E+00 -1.161344842462239E+03
    97  8.070877257666373E-01 -1.999829366451338E+00 -7.222526662609026E+02
    98  8.070878838481875E-01 -1.999920266794887E+00 -4.492810057568282E+02
    99  8.070880418274652E-01 -1.999976773840290E+00 -2.794555536507277E+02
   100  8.070881997505031E-01 -2.000011903195272E+00 -1.737524383293518E+02
   101  8.070883576501499E-01 -2.000033734168256E+00 -1.079417234045061E+02
   102  8.070885155497967E-01 -2.000047288223462E+00 -6.696155543089770E+01
   103  8.070886734494435E-01 -2.000055688308614E+00 -4.144376233265501E+01
   104  8.070888313490903E-01 -2.000060879104524E+00 -2.555435582533927E+01
   105  8.070889892487371E-01 -2.000064071548707E+00 -1.566041624127169E+01
   106  8.070891471483839E-01 -2.000066019671454E+00 -9.499731517856105E+00
   107  8.070893050480307E-01 -2.000067192990401E+00 -5.663652231700581E+00
   108  8.070894629476775E-01 -2.000067883861935E+00 -3.275041011693304E+00
   109  8.070896208473243E-01 -2.000068274328119E+00 -1.787726076019804E+00
   110  8.070897787469711E-01 -2.000068477741160E+00 -8.616212211650820E-01
   111  8.070899366466179E-01 -2.000068564682033E+00 -2.849646543899076E-01
   112  8.070900945462647E-01 -2.000068579099332E+00  7.410131993300606E-02
   113  8.070902524459115E-01 -2.000068548358475E+00  2.976804387514603E-01
   114  8.070904103455583E-01 -2.000068489499119E+00  4.368940824241972E-01
   115  8.070906406516016E-01 -2.000068374172570E+00  5.515107171226399E-01
   116  8.070909012637560E-01 -2.000068221254558E+00  6.139570102402778E-01
   117  8.070912227764635E-01 -2.000068017789014E+00  6.465522544041871E-01
   118  8.070916589174914E-01 -2.000067731927145E+00  6.612006966621484E-01
   119  8.070922533536532E-01 -2.000067337162777E+00  6.657134220163680E-01
   120  8.070931508276059E-01 -2.000066739163925E+00  6.665645875912994E-01
   121  8.070947696139621E-01 -2.000065660053827E+00  6.666284370290856E-01
   122  8.070989396244266E-01 -2.000062880196761E+00  6.666315154115441E-01
   123  8.071176275489200E-01 -2.000050422170816E+00  6.666385488224148E-01
   124  8.072671309448671E-01 -1.999950753304925E+00  6.666939822792907E-01
   125  8.084631581124443E-01 -1.999153104156151E+00  6.671374012659941E-01
   126  8.180313754530619E-01 -1.992752706989462E+00  6.707155213717892E-01
   127  8.945771141780032E-01 -1.940250595116179E+00  7.018237728137701E-01
   128  1.092548296561804E+00 -1.791350264969895E+00  8.109453020414323E-01
   129  1.270183087967961E+00 -1.633918420457791E+00  9.785640523616164E-01
   130  1.373054709297284E+00 -1.525200197163878E+00  1.150015301513302E+00
   131  1.450650828948296E+00 -1.428108622294190E+00  1.373837402097968E+00
   132  1.501320800154845E+00 -1.352586462824708E+00  1.630608726836120E+00
   133  1.536799021390016E+00 -1.289690316604001E+00  1.944325232338000E+00
   134  1.560874682390032E+00 -1.238808146660546E+00  2.317017302274484E+00
   135  1.577533337262082E+00 -1.196802744226793E+00  2.768125957058273E+00
   136  1.589074034273360E+00 -1.161984111340806E+00  3.317799415914922E+00
   137  1.597028865235022E+00 -1.133178763675154E+00  3.988335436870015E+00
   138  1.602493820410710E+00 -1.109357839872597E+00  4.808299982751014E+00
   139  1.606236070989739E+00 -1.089665877242346E+00  5.813591034272497E+00
   140  1.608791139792144E+00 -1.073387466338929E+00  7.050010743172424E+00
   141  1.610496317007313E+00 -1.060222119350916E+00  8.535873723661897E+00
   142  1.611928861751605E+00 -1.046466448316973E+00  1.097859796919359E+01
   143  1.612614201020378E+00 -1.038233219175899E+00  1.326598819124406E+01
   144  1.613086955107119E+00 -1.031363457995451E+00  1.606454906348660E+01
   145  1.613463092578315E+00 -1.024625791428517E+00  2.023793655707984E+01
   146  1.613699733893597E+00 -1.019295019710288E+00  2.538464025277000E+01
   147  1.613829702864771E+00 -1.015692798170845E+00  3.049426271330874E+01
   148  1.613914600997198E+00 -1.012890455660804E+00  3.593467926482289E+01
   149  1.613982022989658E+00 -1.010254793361599E+00  4.278193318206398E+01
   150  1.614034064638865E+00 -1.007826414842845E+00  5.118827616728119E+01
   151  1.614073580878248E+00 -1.005620222447822E+00  6.120501005805117E+01
   152  1.614104955764815E+00 -1.003520985587247E+00  7.349000346674630E+01
