x l c a ypdf ycdf
0 0 1 1 0 0
0.5 0 1 1 0.541341132946451 0.135335283236613
1 0 1 1 0.367879441171442 0.367879441171442
1.5 0 1 1 0.228185386236708 0.513417119032592
2 0 1 1 0.151632664928158 0.606530659712633
2.5 0 1 1 0.107251207365702 0.670320046035639
3 0 1 1 0.0796145900637543 0.716531310573789
3.5 0 1 1 0.0613450851490029 0.751477293075286
4 0 1 1 0.0486750489419628 0.778800783071405
0 0 1 2 0 0
0.5 0 1 2 0.293050222219747 0.0183156388887342
1 0 1 2 0.735758882342885 0.367879441171442
1.5 0 1 2 0.379958748699232 0.641180388429955
2 0 1 2 0.194700195767851 0.778800783071405
2.5 0 1 2 0.109074404987675 0.852143788966211
3 0 1 2 0.0662843938381015 0.89483931681437
3.5 0 1 2 0.04299057480106 0.921610447297725
4 0 1 2 0.0293566582129211 0.939413062813476
0 0 1 3 0 0
0.5 0 1 3 0.0161022061393206 0.000335462627902512
1 0 1 3 1.10363832351433 0.367879441171442
1.5 0 1 3 0.44063234323313 0.743567079205906
2 0 1 3 0.165468169234612 0.882496902584595
2.5 0 1 3 0.07203878396396 0.938004999530729
3 0 1 3 0.0356903868259736 0.963640444301286
3.5 0 1 3 0.0195307877314814 0.97694627798514
4 0 1 3 0.0115370676211571 0.984496437005408
0 0 2 1 0 0
0.5 0 2 1 0.146525111109873 0.0183156388887342
1 0 2 1 0.270670566473225 0.135335283236613
1.5 0 2 1 0.234308567213979 0.263597138115727
2 0 2 1 0.183939720585721 0.367879441171442
2.5 0 2 1 0.143785268517511 0.449328964117222
3 0 2 1 0.114092693118354 0.513417119032592
3.5 0 2 1 0.0921988770624913 0.564718122007759
4 0 2 1 0.0758163324640792 0.606530659712633
0 0 2 2 0 0
0.5 0 2 2 7.20225118203259e-06 1.12535174719259e-07
1 0 2 2 0.146525111109873 0.0183156388887342
1.5 0 2 2 0.400624155036601 0.169013315406066
2 0 2 2 0.367879441171442 0.367879441171442
2.5 0 2 2 0.269973721110041 0.527292424043049
3 0 2 2 0.189979374349616 0.641180388429955
3.5 0 2 2 0.13460940694666 0.721422290354756
4 0 2 2 0.0973500978839256 0.778800783071405
0 0 2 3 0 0
0.5 0 2 3 6.15863381970675e-26 1.60381089054864e-28
1 0 2 3 0.00805110306966028 0.000335462627902512
1.5 0 2 3 0.443003781677631 0.0934461101976254
2 0 2 3 0.551819161757164 0.367879441171442
2.5 0 2 3 0.368207332052299 0.599295787845538
3 0 2 3 0.220316171616565 0.743567079205906
3.5 0 2 3 0.132710267758176 0.829784773144222
4 0 2 3 0.0827340846173058 0.882496902584595
0 0.5 1 1 0 0
0.5 0.5 1 1 0 0
1 0.5 1 1 0.541341132946451 0.135335283236613
1.5 0.5 1 1 0.367879441171442 0.367879441171442
2 0.5 1 1 0.228185386236708 0.513417119032592
2.5 0.5 1 1 0.151632664928158 0.606530659712633
3 0.5 1 1 0.107251207365702 0.670320046035639
3.5 0.5 1 1 0.0796145900637543 0.716531310573789
4 0.5 1 1 0.0613450851490029 0.751477293075286
0 0.5 1 2 0 0
0.5 0.5 1 2 0 0
1 0.5 1 2 0.293050222219747 0.0183156388887342
1.5 0.5 1 2 0.735758882342885 0.367879441171442
2 0.5 1 2 0.379958748699232 0.641180388429955
2.5 0.5 1 2 0.194700195767851 0.778800783071405
3 0.5 1 2 0.109074404987675 0.852143788966211
3.5 0.5 1 2 0.0662843938381015 0.89483931681437
4 0.5 1 2 0.04299057480106 0.921610447297725
0 0.5 1 3 0 0
0.5 0.5 1 3 0 0
1 0.5 1 3 0.0161022061393206 0.000335462627902512
1.5 0.5 1 3 1.10363832351433 0.367879441171442
2 0.5 1 3 0.44063234323313 0.743567079205906
2.5 0.5 1 3 0.165468169234612 0.882496902584595
3 0.5 1 3 0.07203878396396 0.938004999530729
3.5 0.5 1 3 0.0356903868259736 0.963640444301286
4 0.5 1 3 0.0195307877314814 0.97694627798514
0 0.5 2 1 0 0
0.5 0.5 2 1 0 0
1 0.5 2 1 0.146525111109873 0.0183156388887342
1.5 0.5 2 1 0.270670566473225 0.135335283236613
2 0.5 2 1 0.234308567213979 0.263597138115727
2.5 0.5 2 1 0.183939720585721 0.367879441171442
3 0.5 2 1 0.143785268517511 0.449328964117222
3.5 0.5 2 1 0.114092693118354 0.513417119032592
4 0.5 2 1 0.0921988770624913 0.564718122007759
0 0.5 2 2 0 0
0.5 0.5 2 2 0 0
1 0.5 2 2 7.20225118203259e-06 1.12535174719259e-07
1.5 0.5 2 2 0.146525111109873 0.0183156388887342
2 0.5 2 2 0.400624155036601 0.169013315406066
2.5 0.5 2 2 0.367879441171442 0.367879441171442
3 0.5 2 2 0.269973721110041 0.527292424043049
3.5 0.5 2 2 0.189979374349616 0.641180388429955
4 0.5 2 2 0.13460940694666 0.721422290354756
0 0.5 2 3 0 0
0.5 0.5 2 3 0 0
1 0.5 2 3 6.15863381970675e-26 1.60381089054864e-28
1.5 0.5 2 3 0.00805110306966028 0.000335462627902512
2 0.5 2 3 0.443003781677631 0.0934461101976254
2.5 0.5 2 3 0.551819161757164 0.367879441171442
3 0.5 2 3 0.368207332052299 0.599295787845538
3.5 0.5 2 3 0.220316171616565 0.743567079205906
4 0.5 2 3 0.132710267758176 0.829784773144222
