x ksi mu sig ypdf ycdf
-4 -0.5 -0.5 0.5 1.44470524966705e-08 1.60522805518561e-09
-3.5 -0.5 -0.5 0.5 9.00281397754073e-07 1.12535174719259e-07
-3 -0.5 -0.5 0.5 3.34958217449031e-05 4.78511739212901e-06
-2.5 -0.5 -0.5 0.5 0.000740458824520078 0.00012340980408668
-2 -0.5 -0.5 0.5 0.00965227068113855 0.00193045413622771
-1.5 -0.5 -0.5 0.5 0.0732625555549367 0.0183156388887342
-1 -0.5 -0.5 0.5 0.316197673685593 0.105399224561864
-0.5 -0.5 -0.5 0.5 0.735758882342885 0.367879441171442
0 -0.5 -0.5 0.5 0.778800783071405 0.778800783071405
0.5 -0.5 -0.5 0.5 0 1
1 -0.5 -0.5 0.5 0 1
1.5 -0.5 -0.5 0.5 0 1
2 -0.5 -0.5 0.5 0 1
2.5 -0.5 -0.5 0.5 0 1
3 -0.5 -0.5 0.5 0 1
3.5 -0.5 -0.5 0.5 0 1
4 -0.5 -0.5 0.5 0 1
-4 -0.5 -0.5 1 0.00142883037592581 0.000519574682154838
-3.5 -0.5 -0.5 1 0.00482613534056927 0.00193045413622771
-3 -0.5 -0.5 1 0.0142418597118429 0.00632971542748575
-2.5 -0.5 -0.5 1 0.0366312777774684 0.0183156388887342
-2 -0.5 -0.5 1 0.0818485891719282 0.046770622383959
-1.5 -0.5 -0.5 1 0.158098836842796 0.105399224561864
-1 -0.5 -0.5 1 0.262014233938872 0.209611387151098
-0.5 -0.5 -0.5 1 0.367879441171442 0.367879441171442
0 -0.5 -0.5 1 0.427337118548192 0.569782824730923
0.5 -0.5 -0.5 1 0.389400391535702 0.778800783071405
1 -0.5 -0.5 1 0.234853265703369 0.939413062813476
1.5 -0.5 -0.5 1 0 1
2 -0.5 -0.5 1 0 1
2.5 -0.5 -0.5 1 0 1
3 -0.5 -0.5 1 0 1
3.5 -0.5 -0.5 1 0 1
4 -0.5 -0.5 1 0 1
-4 -0.5 0 0.5 1.3887943864964e-10 1.3887943864964e-11
-3.5 -0.5 0 0.5 1.44470524966705e-08 1.60522805518561e-09
-3 -0.5 0 0.5 9.00281397754073e-07 1.12535174719259e-07
-2.5 -0.5 0 0.5 3.34958217449031e-05 4.78511739212901e-06
-2 -0.5 0 0.5 0.000740458824520078 0.00012340980408668
-1.5 -0.5 0 0.5 0.00965227068113855 0.00193045413622771
-1 -0.5 0 0.5 0.0732625555549367 0.0183156388887342
-0.5 -0.5 0 0.5 0.316197673685593 0.105399224561864
0 -0.5 0 0.5 0.735758882342885 0.367879441171442
0.5 -0.5 0 0.5 0.778800783071405 0.778800783071405
1 -0.5 0 0.5 0 1
1.5 -0.5 0 0.5 0 1
2 -0.5 0 0.5 0 1
2.5 -0.5 0 0.5 0 1
3 -0.5 0 0.5 0 1
3.5 -0.5 0 0.5 0 1
4 -0.5 0 0.5 0 1
-4 -0.5 0 1 0.000370229412260039 0.00012340980408668
-3.5 -0.5 0 1 0.00142883037592581 0.000519574682154838
-3 -0.5 0 1 0.00482613534056927 0.00193045413622771
-2.5 -0.5 0 1 0.0142418597118429 0.00632971542748575
-2 -0.5 0 1 0.0366312777774684 0.0183156388887342
-1.5 -0.5 0 1 0.0818485891719282 0.046770622383959
-1 -0.5 0 1 0.158098836842796 0.105399224561864
-0.5 -0.5 0 1 0.262014233938872 0.209611387151098
0 -0.5 0 1 0.367879441171442 0.367879441171442
0.5 -0.5 0 1 0.427337118548192 0.569782824730923
1 -0.5 0 1 0.389400391535702 0.778800783071405
1.5 -0.5 0 1 0.234853265703369 0.939413062813476
2 -0.5 0 1 0 1
2.5 -0.5 0 1 0 1
3 -0.5 0 1 0 1
3.5 -0.5 0 1 0 1
4 -0.5 0 1 0 1
-4 -0.5 0.5 0.5 8.01649650540165e-13 7.28772409581969e-14
-3.5 -0.5 0.5 0.5 1.3887943864964e-10 1.3887943864964e-11
-3 -0.5 0.5 0.5 1.44470524966705e-08 1.60522805518561e-09
-2.5 -0.5 0.5 0.5 9.00281397754073e-07 1.12535174719259e-07
-2 -0.5 0.5 0.5 3.34958217449031e-05 4.78511739212901e-06
-1.5 -0.5 0.5 0.5 0.000740458824520078 0.00012340980408668
-1 -0.5 0.5 0.5 0.00965227068113855 0.00193045413622771
-0.5 -0.5 0.5 0.5 0.0732625555549367 0.0183156388887342
0 -0.5 0.5 0.5 0.316197673685593 0.105399224561864
0.5 -0.5 0.5 0.5 0.735758882342885 0.367879441171442
1 -0.5 0.5 0.5 0.778800783071405 0.778800783071405
1.5 -0.5 0.5 0.5 0 1
2 -0.5 0.5 0.5 0 1
2.5 -0.5 0.5 0.5 0 1
3 -0.5 0.5 0.5 0 1
3.5 -0.5 0.5 0.5 0 1
4 -0.5 0.5 0.5 0 1
-4 -0.5 0.5 1 8.40713257236258e-05 2.58681002226541e-05
-3.5 -0.5 0.5 1 0.000370229412260039 0.00012340980408668
-3 -0.5 0.5 1 0.00142883037592581 0.000519574682154838
-2.5 -0.5 0.5 1 0.00482613534056927 0.00193045413622771
-2 -0.5 0.5 1 0.0142418597118429 0.00632971542748575
-1.5 -0.5 0.5 1 0.0366312777774684 0.0183156388887342
-1 -0.5 0.5 1 0.0818485891719282 0.046770622383959
-0.5 -0.5 0.5 1 0.158098836842796 0.105399224561864
0 -0.5 0.5 1 0.262014233938872 0.209611387151098
0.5 -0.5 0.5 1 0.367879441171442 0.367879441171442
1 -0.5 0.5 1 0.427337118548192 0.569782824730923
1.5 -0.5 0.5 1 0.389400391535702 0.778800783071405
2 -0.5 0.5 1 0.234853265703369 0.939413062813476
2.5 -0.5 0.5 1 0 1
3 -0.5 0.5 1 0 1
3.5 -0.5 0.5 1 0 1
4 -0.5 0.5 1 0 1
-4 0 -0.5 0.5 0 0
-3.5 0 -0.5 0.5 5.01069574040119e-173 6.21013648656614e-176
-3 0 -0.5 0.5 1.04108542169913e-62 3.50738919646464e-65
-2.5 0 -0.5 0.5 2.12096079940856e-22 1.94233760495641e-24
-2 0 -0.5 0.5 7.60108500808873e-08 1.89217869483829e-09
-1.5 0 -0.5 0.5 0.00913256284025583 0.000617978989331093
-1 0 -0.5 0.5 0.358748157468034 0.0659880358453125
-0.5 0 -0.5 0.5 0.735758882342885 0.367879441171442
0 0 -0.5 0.5 0.509292760087165 0.692200627555346
0.5 0 -0.5 0.5 0.236409903186286 0.873423018493117
1 0 -0.5 0.5 0.0947380193558158 0.951431992900453
1.5 0 -0.5 0.5 0.0359664593934273 0.981851073061667
2 0 -0.5 0.5 0.013385399355071 0.993284702067841
2.5 0 -0.5 0.5 0.00494523114602982 0.997524317392752
