x n z ypdf ycdf
0 0 0.25 0 0
0.25 0 0.25 1.34267554901169e-06 1.46828105639037e-08
0.5 0 0.25 0.0683494950964322 0.00278061786230952
0.75 0 0.25 1.09740697536329 0.124922017154603
1 0 0.25 1.59576912160573 0.5
1.25 0 0.25 0.857158800562558 0.813957381056098
1.5 0 0.25 0.285553775719259 0.947583382357198
1.75 0 0.25 0.0744506640209658 0.987404566114261
2 0 0.25 0.017087373774108 0.99721938213769
2.25 0 0.25 0.00368149296198414 0.99941010348623
2.5 0 0.25 0.000772680788226295 0.999876409413847
2.75 0 0.25 0.000161511159303679 0.999973994740764
3 0 0.25 3.40783542739241e-05 0.999994447300413
0 0 0.5 0 0
0.25 0 0.5 0.0683494950964322 0.00278061786230952
0.5 0 0.5 0.610455304190183 0.0828285190016985
0.75 0 0.5 0.90155770372944 0.282522523985944
1 0 0.5 0.797884560802865 0.5
1.25 0 0.5 0.57780375455939 0.672305064288457
1.5 0 0.5 0.382869771988593 0.791297126615529
1.75 0 0.5 0.243717185734742 0.868479321024816
2 0 0.5 0.152613826047546 0.917171480998301
2.25 0 0.5 0.0951845919064197 0.947583382357198
2.5 0 0.5 0.0595309165702857 0.966567581591083
2.75 0 0.5 0.0374756056628331 0.97847382811175
3 0 0.5 0.0237944822614366 0.985997794426055
0 0 1 0 0
0.25 0 1 0.610455304190183 0.0828285190016985
0.5 0 1 0.627496077115924 0.244108595785583
0.75 0 1 0.510361006313849 0.386795057134097
1 0 1 0.398942280401433 0.5
1.25 0 1 0.311306099911394 0.588288108142545
1.5 0 1 0.24497365171051 0.657432169485154
1.75 0 1 0.194925228762767 0.712129233150075
2 0 1 0.156874019278981 0.755891404214417
2.25 0 1 0.127623257329531 0.791297126615529
2.5 0 1 0.10487106688965 0.820242786104215
2.75 0 1 0.086968643299711 0.844135545087431
3 0 1 0.0727282561399947 0.864031392358576
0 0.5 0.25 0 0
0.25 0.5 0.25 2.77269555237383e-12 2.25836044469474e-14
0.5 0.5 0.25 3.61331963982621e-05 9.09364730874628e-07
0.75 0.5 0.25 0.0148685582863174 0.000814319615596294
1 0.5 0.25 0.215963866052752 0.0227501319481792
1.25 0.5 0.25 0.691436702328259 0.134054939312812
1.5 0.5 0.25 0.990441925092644 0.352663458031298
1.75 0.5 0.25 0.886306636504786 0.594239054137485
2 0.5 0.25 0.592006289789127 0.780117089512224
2.25 0.5 0.25 0.327261680101392 0.893198842948483
2.5 0.5 0.25 0.15956264240432 0.952059872506144
2.75 0.5 0.25 0.0714949095869118 0.979641663205033
3 0.5 0.25 0.0302593564587463 0.991677324435874
0 0.5 0.5 0 0
0.25 0.5 0.5 0.00259100402199152 8.07812434683331e-05
0.5 0.5 0.5 0.092564964593887 0.00850956125608893
0.75 0.5 0.5 0.307587593706764 0.0575862078067135
1 0.5 0.5 0.483941449038287 0.158655253931457
1.25 0.5 0.5 0.547587019433349 0.289887673601522
1.5 0.5 0.5 0.5225000746236 0.425019061690486
1.75 0.5 0.5 0.452704707931436 0.547454054425741
2 0.5 0.5 0.370259858375548 0.650360661899309
2.25 0.5 0.5 0.29227013995011 0.732983177624653
2.5 0.5 0.5 0.225670788129207 0.797459591674771
2.75 0.5 0.5 0.171896410182678 0.846893784494822
3 0.5 0.5 0.129888747211947 0.884390483611032
0 0.5 1 0 0
