x mu sig ypdf ycdf
-4 -0.5 0.25 4.38642623755589e-43 7.7935368191928e-45
-3.5 -0.5 0.25 8.58553494265224e-32 1.77648211207768e-33
-3 -0.5 0.25 3.07783945068257e-22 7.61985302416053e-24
-2.5 -0.5 0.25 2.02090843341476e-14 6.22096057427178e-16
-2 -0.5 0.25 2.43035313992931e-08 9.86587645037698e-10
-1.5 -0.5 0.25 0.000535320903059541 3.16712418331199e-05
-1 -0.5 0.25 0.215963866052752 0.0227501319481792
-0.5 -0.5 0.25 1.59576912160573 0.5
0 -0.5 0.25 0.215963866052752 0.977249868051821
0.5 -0.5 0.25 0.000535320903059541 0.999968328758167
1 -0.5 0.25 2.43035313992931e-08 0.999999999013412
1.5 -0.5 0.25 2.02090843341476e-14 0.999999999999999
2 -0.5 0.25 3.07783945068257e-22 1
2.5 -0.5 0.25 8.58553494265224e-32 1
3 -0.5 0.25 4.38642623755589e-43 1
3.5 -0.5 0.25 4.10465229116761e-56 1
4 -0.5 0.25 7.03499817038042e-71 1
-4 -0.5 0.5 1.82694408167292e-11 1.27981254388584e-12
-3.5 -0.5 0.5 1.21517656996466e-08 9.86587645037698e-10
-3 -0.5 0.5 2.9734390294686e-06 2.86651571879194e-07
-2.5 -0.5 0.5 0.000267660451529771 3.16712418331199e-05
-2 -0.5 0.5 0.00886369682387602 0.00134989803163009
-1.5 -0.5 0.5 0.107981933026376 0.0227501319481792
-1 -0.5 0.5 0.483941449038287 0.158655253931457
-0.5 -0.5 0.5 0.797884560802865 0.5
0 -0.5 0.5 0.483941449038287 0.841344746068543
0.5 -0.5 0.5 0.107981933026376 0.977249868051821
1 -0.5 0.5 0.00886369682387602 0.99865010196837
1.5 -0.5 0.5 0.000267660451529771 0.999968328758167
2 -0.5 0.5 2.9734390294686e-06 0.999999713348428
2.5 -0.5 0.5 1.21517656996466e-08 0.999999999013412
3 -0.5 0.5 1.82694408167292e-11 0.99999999999872
3.5 -0.5 0.5 1.01045421670738e-14 0.999999999999999
4 -0.5 0.5 2.05595471433378e-18 1
-4 -0.5 1 0.00087268269504576 0.000232629079035525
-3.5 -0.5 1 0.00443184841193801 0.00134989803163009
-3 -0.5 1 0.0175283004935685 0.00620966532577613
-2.5 -0.5 1 0.0539909665131881 0.0227501319481792
-2 -0.5 1 0.129517595665892 0.0668072012688581
-1.5 -0.5 1 0.241970724519143 0.158655253931457
-1 -0.5 1 0.3520653267643 0.308537538725987
-0.5 -0.5 1 0.398942280401433 0.5
0 -0.5 1 0.3520653267643 0.691462461274013
0.5 -0.5 1 0.241970724519143 0.841344746068543
1 -0.5 1 0.129517595665892 0.933192798731142
1.5 -0.5 1 0.0539909665131881 0.977249868051821
2 -0.5 1 0.0175283004935685 0.993790334674224
2.5 -0.5 1 0.00443184841193801 0.99865010196837
3 -0.5 1 0.00087268269504576 0.999767370920964
3.5 -0.5 1 0.000133830225764885 0.999968328758167
4 -0.5 1 1.59837411069055e-05 0.999996602326875
-4 0 0.25 4.10465229116761e-56 6.38875440053809e-58
-3.5 0 0.25 4.38642623755589e-43 7.7935368191928e-45
-3 0 0.25 8.58553494265224e-32 1.77648211207768e-33
-2.5 0 0.25 3.07783945068257e-22 7.61985302416053e-24
-2 0 0.25 2.02090843341476e-14 6.22096057427178e-16
-1.5 0 0.25 2.43035313992931e-08 9.86587645037698e-10
-1 0 0.25 0.000535320903059541 3.16712418331199e-05
-0.5 0 0.25 0.215963866052752 0.0227501319481792
0 0 0.25 1.59576912160573 0.5
0.5 0 0.25 0.215963866052752 0.977249868051821
1 0 0.25 0.000535320903059541 0.999968328758167
1.5 0 0.25 2.43035313992931e-08 0.999999999013412
2 0 0.25 2.02090843341476e-14 0.999999999999999
2.5 0 0.25 3.07783945068257e-22 1
3 0 0.25 8.58553494265224e-32 1
3.5 0 0.25 4.38642623755589e-43 1
4 0 0.25 4.10465229116761e-56 1
-4 0 0.5 1.01045421670738e-14 6.22096057427178e-16
-3.5 0 0.5 1.82694408167292e-11 1.27981254388584e-12
-3 0 0.5 1.21517656996466e-08 9.86587645037698e-10
-2.5 0 0.5 2.9734390294686e-06 2.86651571879194e-07
-2 0 0.5 0.000267660451529771 3.16712418331199e-05
-1.5 0 0.5 0.00886369682387602 0.00134989803163009
-1 0 0.5 0.107981933026376 0.0227501319481792
-0.5 0 0.5 0.483941449038287 0.158655253931457
0 0 0.5 0.797884560802865 0.5
0.5 0 0.5 0.483941449038287 0.841344746068543
1 0 0.5 0.107981933026376 0.977249868051821
1.5 0 0.5 0.00886369682387602 0.99865010196837
2 0 0.5 0.000267660451529771 0.999968328758167
2.5 0 0.5 2.9734390294686e-06 0.999999713348428
3 0 0.5 1.21517656996466e-08 0.999999999013412
3.5 0 0.5 1.82694408167292e-11 0.99999999999872
4 0 0.5 1.01045421670738e-14 0.999999999999999
-4 0 1 0.000133830225764885 3.16712418331199e-05
-3.5 0 1 0.00087268269504576 0.000232629079035525
-3 0 1 0.00443184841193801 0.00134989803163009
-2.5 0 1 0.0175283004935685 0.00620966532577613
-2 0 1 0.0539909665131881 0.0227501319481792
-1.5 0 1 0.129517595665892 0.0668072012688581
-1 0 1 0.241970724519143 0.158655253931457
-0.5 0 1 0.3520653267643 0.308537538725987
0 0 1 0.398942280401433 0.5
0.5 0 1 0.3520653267643 0.691462461274013
1 0 1 0.241970724519143 0.841344746068543
1.5 0 1 0.129517595665892 0.933192798731142
2 0 1 0.0539909665131881 0.977249868051821
2.5 0 1 0.0175283004935685 0.993790334674224
3 0 1 0.00443184841193801 0.99865010196837
3.5 0 1 0.00087268269504576 0.999767370920964
4 0 1 0.000133830225764885 0.999968328758167
-4 1 0.25 2.20837934486391e-87 2.75362411860623e-89
-3.5 1 0.25 7.03499817038042e-71 9.74094891893715e-73
-3 1 0.25 4.10465229116761e-56 6.38875440053809e-58
-2.5 1 0.25 4.38642623755589e-43 7.7935368191928e-45
-2 1 0.25 8.58553494265224e-32 1.77648211207768e-33
-1.5 1 0.25 3.07783945068257e-22 7.61985302416053e-24
-1 1 0.25 2.02090843341476e-14 6.22096057427178e-16
-0.5 1 0.25 2.43035313992931e-08 9.86587645037698e-10
0 1 0.25 0.000535320903059541 3.16712418331199e-05
0.5 1 0.25 0.215963866052752 0.0227501319481792
1 1 0.25 1.59576912160573 0.5
1.5 1 0.25 0.215963866052752 0.977249868051821
2 1 0.25 0.000535320903059541 0.999968328758167
2.5 1 0.25 2.43035313992931e-08 0.999999999013412
3 1 0.25 2.02090843341476e-14 0.999999999999999
3.5 1 0.25 3.07783945068257e-22 1
4 1 0.25 8.58553494265224e-32 1
-4 1 0.5 1.53891972534128e-22 7.61985302416053e-24
-3.5 1 0.5 2.05595471433378e-18 1.12858840595384e-19
-3 1 0.5 1.01045421670738e-14 6.22096057427178e-16
-2.5 1 0.5 1.82694408167292e-11 1.27981254388584e-12
-2 1 0.5 1.21517656996466e-08 9.86587645037698e-10
-1.5 1 0.5 2.9734390294686e-06 2.86651571879194e-07
-1 1 0.5 0.000267660451529771 3.16712418331199e-05
-0.5 1 0.5 0.00886369682387602 0.00134989803163009
0 1 0.5 0.107981933026376 0.0227501319481792
0.5 1 0.5 0.483941449038287 0.158655253931457
1 1 0.5 0.797884560802865 0.5
1.5 1 0.5 0.483941449038287 0.841344746068543
2 1 0.5 0.107981933026376 0.977249868051821
2.5 1 0.5 0.00886369682387602 0.99865010196837
3 1 0.5 0.000267660451529771 0.999968328758167
3.5 1 0.5 2.9734390294686e-06 0.999999713348428
4 1 0.5 1.21517656996466e-08 0.999999999013412
-4 1 1 1.4867195147343e-06 2.86651571879194e-07
-3.5 1 1 1.59837411069055e-05 3.39767312473006e-06
-3 1 1 0.000133830225764885 3.16712418331199e-05
-2.5 1 1 0.00087268269504576 0.000232629079035525
-2 1 1 0.00443184841193801 0.00134989803163009
-1.5 1 1 0.0175283004935685 0.00620966532577613
-1 1 1 0.0539909665131881 0.0227501319481792
-0.5 1 1 0.129517595665892 0.0668072012688581
0 1 1 0.241970724519143 0.158655253931457
0.5 1 1 0.3520653267643 0.308537538725987
1 1 1 0.398942280401433 0.5
1.5 1 1 0.3520653267643 0.691462461274013
2 1 1 0.241970724519143 0.841344746068543
2.5 1 1 0.129517595665892 0.933192798731142
3 1 1 0.0539909665131881 0.977249868051821
3.5 1 1 0.0175283004935685 0.993790334674224
4 1 1 0.00443184841193801 0.99865010196837
