x u b ypdf ycdf
-3 0 0.5 5.01069574040119e-173 6.21013648656614e-176
-2.5 0 0.5 1.04108542169913e-62 3.50738919646464e-65
-2 0 0.5 2.12096079940856e-22 1.94233760495641e-24
-1.5 0 0.5 7.60108500808873e-08 1.89217869483829e-09
-1 0 0.5 0.00913256284025583 0.000617978989331093
-0.5 0 0.5 0.358748157468034 0.0659880358453125
0 0 0.5 0.735758882342885 0.367879441171442
0.5 0 0.5 0.509292760087165 0.692200627555346
1 0 0.5 0.236409903186286 0.873423018493117
1.5 0 0.5 0.0947380193558158 0.951431992900453
2 0 0.5 0.0359664593934273 0.981851073061667
2.5 0 0.5 0.013385399355071 0.993284702067841
3 0 0.5 0.00494523114602982 0.997524317392752
-3 0 1 3.80054250404436e-08 1.89217869483829e-09
-2.5 0 1 6.23657718766199e-05 5.11929429867073e-06
-2 0 1 0.00456628142012792 0.000617978989331093
-1.5 0 1 0.0507071136099807 0.0113142863804596
-1 0 1 0.179374078734017 0.0659880358453125
-0.5 0 1 0.317041921077942 0.192295645547965
0 0 1 0.367879441171442 0.367879441171442
0.5 0 1 0.330704298890418 0.545239211892605
1 0 1 0.254646380043582 0.692200627555346
1.5 0 1 0.178506518513121 0.800010713004354
2 0 1 0.118204951593143 0.873423018493117
2.5 0 1 0.0756161799174265 0.921193655175516
3 0 1 0.0473690096779079 0.951431992900453
-3 0 2 0.0253535568049904 0.0113142863804596
-2.5 0 2 0.0532109999504495 0.0304904134630622
-2 0 2 0.0896870393670086 0.0659880358453125
-1.5 0 2 0.127435210411518 0.12039226207983
-1 0 2 0.158520960538971 0.192295645547965
-0.5 0 2 0.177786373690972 0.276920334099909
0 0 2 0.183939720585721 0.367879441171442
0.5 0 2 0.178717673086091 0.458956069307664
1 0 2 0.165352149445209 0.545239211892605
1.5 0 2 0.147266157620177 0.6235249162568
2 0 2 0.127323190021791 0.692200627555346
2.5 0 2 0.107565858970122 0.750883476639395
3 0 2 0.0892532592565605 0.800010713004354
-3 0.5 0.5 0 0
-2.5 0.5 0.5 5.01069574040119e-173 6.21013648656614e-176
-2 0.5 0.5 1.04108542169913e-62 3.50738919646464e-65
-1.5 0.5 0.5 2.12096079940856e-22 1.94233760495641e-24
-1 0.5 0.5 7.60108500808873e-08 1.89217869483829e-09
-0.5 0.5 0.5 0.00913256284025583 0.000617978989331093
0 0.5 0.5 0.358748157468034 0.0659880358453125
0.5 0.5 0.5 0.735758882342885 0.367879441171442
1 0.5 0.5 0.509292760087165 0.692200627555346
1.5 0.5 0.5 0.236409903186286 0.873423018493117
2 0.5 0.5 0.0947380193558158 0.951431992900453
2.5 0.5 0.5 0.0359664593934273 0.981851073061667
3 0.5 0.5 0.013385399355071 0.993284702067841
-3 0.5 1 1.37458827543355e-13 4.15089692010905e-15
-2.5 0.5 1 3.80054250404436e-08 1.89217869483829e-09
-2 0.5 1 6.23657718766199e-05 5.11929429867073e-06
-1.5 0.5 1 0.00456628142012792 0.000617978989331093
-1 0.5 1 0.0507071136099807 0.0113142863804596
-0.5 0.5 1 0.179374078734017 0.0659880358453125
0 0.5 1 0.317041921077942 0.192295645547965
0.5 0.5 1 0.367879441171442 0.367879441171442
1 0.5 1 0.330704298890418 0.545239211892605
1.5 0.5 1 0.254646380043582 0.692200627555346
2 0.5 1 0.178506518513121 0.800010713004354
2.5 0.5 1 0.118204951593143 0.873423018493117
3 0.5 1 0.0756161799174265 0.921193655175516
-3 0.5 2 0.00911576582238494 0.00316816514905324
-2.5 0.5 2 0.0253535568049904 0.0113142863804596
-2 0.5 2 0.0532109999504495 0.0304904134630622
-1.5 0.5 2 0.0896870393670086 0.0659880358453125
-1 0.5 2 0.127435210411518 0.12039226207983
-0.5 0.5 2 0.158520960538971 0.192295645547965
0 0.5 2 0.177786373690972 0.276920334099909
0.5 0.5 2 0.183939720585721 0.367879441171442
1 0.5 2 0.178717673086091 0.458956069307664
1.5 0.5 2 0.165352149445209 0.545239211892605
2 0.5 2 0.147266157620177 0.6235249162568
2.5 0.5 2 0.127323190021791 0.692200627555346
3 0.5 2 0.107565858970122 0.750883476639395
-3 1 0.5 0 0
-2.5 1 0.5 0 0
-2 1 0.5 5.01069574040119e-173 6.21013648656614e-176
-1.5 1 0.5 1.04108542169913e-62 3.50738919646464e-65
-1 1 0.5 2.12096079940856e-22 1.94233760495641e-24
-0.5 1 0.5 7.60108500808873e-08 1.89217869483829e-09
0 1 0.5 0.00913256284025583 0.000617978989331093
0.5 1 0.5 0.358748157468034 0.0659880358453125
1 1 0.5 0.735758882342885 0.367879441171442
1.5 1 0.5 0.509292760087165 0.692200627555346
2 1 0.5 0.236409903186286 0.873423018493117
2.5 1 0.5 0.0947380193558158 0.951431992900453
3 1 0.5 0.0359664593934273 0.981851073061667
-3 1 1 1.06048039970428e-22 1.94233760495641e-24
-2.5 1 1 1.37458827543355e-13 4.15089692010905e-15
-2 1 1 3.80054250404436e-08 1.89217869483829e-09
-1.5 1 1 6.23657718766199e-05 5.11929429867073e-06
-1 1 1 0.00456628142012792 0.000617978989331093
-0.5 1 1 0.0507071136099807 0.0113142863804596
0 1 1 0.179374078734017 0.0659880358453125
0.5 1 1 0.317041921077942 0.192295645547965
1 1 1 0.367879441171442 0.367879441171442
1.5 1 1 0.330704298890418 0.545239211892605
2 1 1 0.254646380043582 0.692200627555346
2.5 1 1 0.178506518513121 0.800010713004354
3 1 1 0.118204951593143 0.873423018493117
-3 1 2 0.00228314071006396 0.000617978989331093
-2.5 1 2 0.00911576582238494 0.00316816514905324
-2 1 2 0.0253535568049904 0.0113142863804596
-1.5 1 2 0.0532109999504495 0.0304904134630622
-1 1 2 0.0896870393670086 0.0659880358453125
-0.5 1 2 0.127435210411518 0.12039226207983
0 1 2 0.158520960538971 0.192295645547965
0.5 1 2 0.177786373690972 0.276920334099909
1 1 2 0.183939720585721 0.367879441171442
1.5 1 2 0.178717673086091 0.458956069307664
2 1 2 0.165352149445209 0.545239211892605
2.5 1 2 0.147266157620177 0.6235249162568
3 1 2 0.127323190021791 0.692200627555346
